ortholog	gene	phenotype	taxon
Wasf2	['WASF2', 'WAS protein family member 2']	abnormal intersomitic vessel morphology	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	abnormal cardiovascular development	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	small heart	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	embryonic lethality during organogenesis, complete penetrance	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	incomplete somite formation	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	decreased embryo size	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	pale yolk sac	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	abnormal angiogenesis	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	trabecula carnea hypoplasia	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	Abnormal bleeding	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	Intracranial hemorrhage	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	Hemopericardium	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	Edema	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	abnormal brain ventricle morphology	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	abnormal somite development	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	abnormal embryonic tissue morphology	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	prenatal lethality, complete penetrance	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	mesoderm formation phenotype	Mus musculus
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) absent blastodisc	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) disrupted axis specification	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	axis specification phenotype	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) mislocalised oocyte stage II cortical granule	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) mislocalised oocyte stage II nucleus	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) process quality oocyte morphogenesis	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) process quality oocyte animal/vegetal axis specification	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) mislocalised oocyte stage II endoplasmic reticulum	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) mislocalised oocyte stage II cytoplasmic part	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) mislocalised oocyte stage II mitochondrion	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) process quality oocyte differentiation	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) mislocalised oocyte stage III cortical granule	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) physical object quality oocyte stage I	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) mislocalised oocyte stage I mitochondrion	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) mislocalised oocyte stage I endoplasmic reticulum	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) mislocalised oocyte stage I nucleus	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) mislocalised unfertilized egg cytoplasm	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) malformed unfertilized egg chorion	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) decreased size unfertilized egg	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) mislocalised oocyte stage I microtubule	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) increased size oocyte stage I mitochondrial cloud	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) mislocalised oocyte stage I mitochondrial cloud	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal(ly) malformed unfertilized egg	Danio rerio
macf1a	['MACF1', 'microtubule-actin crosslinking factor 1']	oocyte animal/vegetal axis specification phenotype	Danio rerio
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	failure of primitive streak formation	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	absent mesoderm	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	embryonic growth arrest	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	embryonic lethality between implantation and somite formation, complete penetrance	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	delayed wound healing	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	decreased keratinocyte migration	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal keratinocyte physiology	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	thin cerebral cortex	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal hippocampal commissure morphology	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal hippocampus pyramidal cell layer	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal cerebral hemisphere morphology	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal stratification in cerebral cortex	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal cerebral cortex morphology	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	abnormal dentate gyrus morphology	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	ectopic hippocampus pyramidal cells	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	neonatal lethality, complete penetrance	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	Abnormality of neuronal migration	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	Abnormality of lateral ventricle	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	Abnormality of the anterior commissure	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	Cyanosis	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	Abnormality of brain morphology	Mus musculus
Macf1	['MACF1', 'microtubule-actin crosslinking factor 1']	Dyspnea	Mus musculus
Anp32e	['ANP32E', 'acidic nuclear phosphoprotein 32 family member E']	no abnormal phenotype detected	Mus musculus
Anp32e	['ANP32E', 'acidic nuclear phosphoprotein 32 family member E']	preweaning lethality, incomplete penetrance	Mus musculus
Anp32e	['ANP32E', 'acidic nuclear phosphoprotein 32 family member E']	preweaning lethality, complete penetrance	Mus musculus
Anp32e	['ANP32E', 'acidic nuclear phosphoprotein 32 family member E']	limb grasping	Mus musculus
Anp32e	['ANP32E', 'acidic nuclear phosphoprotein 32 family member E']	impaired coordination	Mus musculus
Anp32e	['ANP32E', 'acidic nuclear phosphoprotein 32 family member E']	Decreased body weight	Mus musculus
Tns3	['TNS3', 'tensin 3']	cell migration phenotype	Mus musculus
Tns3	['TNS3', 'tensin 3']	lung alveolus development phenotype	Mus musculus
Tns3	['TNS3', 'tensin 3']	decreased chondrocyte number	Mus musculus
Tns3	['TNS3', 'tensin 3']	abnormal digestive system morphology	Mus musculus
Tns3	['TNS3', 'tensin 3']	small spleen	Mus musculus
Tns3	['TNS3', 'tensin 3']	postnatal lethality	Mus musculus
Tns3	['TNS3', 'tensin 3']	abnormal pulmonary alveolus morphology	Mus musculus
Tns3	['TNS3', 'tensin 3']	abnormal bone marrow morphology	Mus musculus
Tns3	['TNS3', 'tensin 3']	small stomach	Mus musculus
Tns3	['TNS3', 'tensin 3']	abnormal cell migration	Mus musculus
Tns3	['TNS3', 'tensin 3']	abnormal long bone epiphyseal plate morphology	Mus musculus
Tns3	['TNS3', 'tensin 3']	Failure to thrive	Mus musculus
Tns3	['TNS3', 'tensin 3']	Decreased body weight	Mus musculus
Tns3	['TNS3', 'tensin 3']	Abnormality of small intestinal villus morphology	Mus musculus
Tns3	['TNS3', 'tensin 3']	Abnormality of the lung	Mus musculus
srrt	['SRRT', 'serrate, RNA effector molecule']	abnormal(ly) quality heart	Danio rerio
srrt	['SRRT', 'serrate, RNA effector molecule']	abnormal(ly) decreased size eye	Danio rerio
srrt	['SRRT', 'serrate, RNA effector molecule']	abnormal(ly) necrotic brain	Danio rerio
srrt	['SRRT', 'serrate, RNA effector molecule']	abnormal(ly) curved dorsal whole organism	Danio rerio
srrt	['SRRT', 'serrate, RNA effector molecule']	abnormal(ly) necrotic trunk	Danio rerio
srrt	['SRRT', 'serrate, RNA effector molecule']	abnormal(ly) increased thickness mandibular arch skeleton	Danio rerio
srrt	['SRRT', 'serrate, RNA effector molecule']	abnormal(ly) edematous pericardium	Danio rerio
srrt	['SRRT', 'serrate, RNA effector molecule']	abnormal(ly) decreased size head	Danio rerio
srrt	['SRRT', 'serrate, RNA effector molecule']	abnormal(ly) necrotic central nervous system	Danio rerio
Srrt	['SRRT', 'serrate, RNA effector molecule']	abnormal thymus physiology	Mus musculus
Srrt	['SRRT', 'serrate, RNA effector molecule']	increased splenocyte apoptosis	Mus musculus
Srrt	['SRRT', 'serrate, RNA effector molecule']	Bone marrow hypocellularity	Mus musculus
Srrt	['SRRT', 'serrate, RNA effector molecule']	embryonic growth arrest	Mus musculus
Srrt	['SRRT', 'serrate, RNA effector molecule']	embryonic lethality between implantation and somite formation, complete penetrance	Mus musculus
Srrt	['SRRT', 'serrate, RNA effector molecule']	failure of blastocyst to hatch from the zona pellucida	Mus musculus
Srrt	['SRRT', 'serrate, RNA effector molecule']	increased embryonic tissue cell apoptosis	Mus musculus
Ubap1	['UBAP1', 'ubiquitin associated protein 1']	preweaning lethality	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	regulation of protein localization phenotype	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	multicellular organism growth phenotype	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	endochondral ossification phenotype	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	cartilage development involved in endochondral bone morphogenesis phenotype	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	skeletal system morphogenesis phenotype	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	increased long bone epiphyseal plate size	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	delayed intramembranous bone ossification	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	decreased width of hypertrophic chondrocyte zone	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	abnormal bone mineralization	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	abnormal limb long bone morphology	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	neonatal lethality, incomplete penetrance	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	decreased body size	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	delayed suture closure	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	decreased chondrocyte number	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	abnormal parietal bone morphology	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	abnormal fontanelle morphology	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Abnormality of pelvic girdle bone morphology	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Scoliosis	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Short sternum	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Decreased body weight	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Abnormal bone structure	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Short long bone	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Abnormality of the ribs	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Abnormal cartilage morphology	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Short ribs	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Rickets	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Abnormality of the vertebral column	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Abnormality of skeletal morphology	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	increased adiponectin level	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	increased bile salt level	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	abnormal cholesterol level	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	decreased kidney weight	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	decreased circulating VLDL triglyceride level	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	decreased cholesterol level	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	decreased liver weight	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	decreased circulating alanine transaminase level	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	increased circulating alanine transaminase level	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	decreased susceptibility to hepatic steatosis	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	abnormal lipid homeostasis	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	abnormal retinol level	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	abnormal fat cell differentiation	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	increased core body temperature	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	decreased brown adipose tissue amount	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	increased respiratory quotient	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	decreased liver cholesterol level	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	increased liver cholesterol level	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	abnormal hepatocyte morphology	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	improved glucose tolerance	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	increased oxygen consumption	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	abnormal energy homeostasis	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	decreased circulating glucose level	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	decreased susceptibility to diet-induced obesity	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	decreased pancreas weight	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	decreased gonadal fat pad weight	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	decreased fat cell size	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	decreased mesenteric fat pad weight	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	decreased renal fat pad weight	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	decreased liver triglyceride level	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	enlarged gallbladder	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	abnormal gallbladder epithelium morphology	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Abnormal eating behavior	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Hypoalphalipoproteinemia	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Hypoinsulinemia	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Abnormal level of phospholipids	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Abnormality of circulating hormone level	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Hypertriglyceridemia	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Hypocholesterolemia	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Hyperbilirubinemia	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Abnormality of circulating protein level	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Abnormality of the liver	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Abnormal gallbladder morphology	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Decreased subcutaneous fat	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Hypotriglyceridemia	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Elevated tissue non-specific alkaline phosphatase	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Abnormal homeostasis	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Abnormal glucose homeostasis	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Cholestasis	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Intrahepatic cholestasis	Mus musculus
Sik3	['SIK3', 'SIK family kinase 3']	Decreased serum leptin	Mus musculus
Senp1	SENP1	negative regulation of proteasomal ubiquitin-dependent protein catabolic process phenotype	Mus musculus
Senp1	SENP1	abnormal hemoglobin content	Mus musculus
Senp1	SENP1	abnormal granulocyte differentiation	Mus musculus
Senp1	SENP1	abnormal monocyte differentiation	Mus musculus
Senp1	SENP1	abnormal erythropoiesis	Mus musculus
Senp1	SENP1	abnormal vascular development	Mus musculus
Senp1	SENP1	pale liver	Mus musculus
Senp1	SENP1	small liver	Mus musculus
Senp1	SENP1	postnatal lethality, complete penetrance	Mus musculus
Senp1	SENP1	lethality throughout fetal growth and development, complete penetrance	Mus musculus
Senp1	SENP1	prenatal lethality, complete penetrance	Mus musculus
Senp1	SENP1	abnormal megakaryocyte progenitor cell morphology	Mus musculus
Senp1	SENP1	abnormal vitelline vasculature morphology	Mus musculus
Senp1	SENP1	decreased liver weight	Mus musculus
Senp1	SENP1	Anemia	Mus musculus
Senp1	SENP1	Elevated hepatic transaminases	Mus musculus
Senp1	SENP1	Erythroid hypoplasia	Mus musculus
Senp1	SENP1	lethality throughout fetal growth and development, incomplete penetrance	Mus musculus
Senp1	SENP1	decreased erythrocyte cell number	Mus musculus
Senp1	SENP1	decreased fetal size	Mus musculus
Senp1	SENP1	Pallor	Mus musculus
Senp1	SENP1	abnormal cell death	Mus musculus
Senp1	SENP1	prenatal lethality	Mus musculus
Senp1	SENP1	abnormal placental labyrinth vasculature morphology	Mus musculus
Senp1	SENP1	enhanced coordination	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	activation of MAPK activity phenotype	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	gastrulation with mouth forming second phenotype	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	regulation of ERK1 and ERK2 cascade phenotype	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	regulation of apoptotic process phenotype	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	forebrain development phenotype	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	neuroblast proliferation phenotype	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	optic placode formation involved in camera-type eye formation phenotype	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	decreased embryo size	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	embryonic lethality between implantation and somite formation, complete penetrance	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	abnormal visceral endoderm morphology	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	abnormal primitive streak elongation	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	embryonic growth retardation	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	abnormal trophoblast giant cell morphology	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	abnormal rostral-caudal axis patterning	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	decreased fetal size	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	embryonic lethality during organogenesis, complete penetrance	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	abnormal interventricular septum morphology	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	preweaning lethality, complete penetrance	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	decreased bone mineral content	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	decreased threshold for auditory brainstem response	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	decreased kidney weight	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	Osteopenia	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	Vertebral fusion	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	abnormal cerebral cortex morphology	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	abnormal cerebellar plate morphology	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	abnormal cerebellum development	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	prenatal lethality, complete penetrance	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	abnormal pharyngeal arch morphology	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	abnormal embryonic/fetal subventricular zone morphology	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	thin cerebral cortex	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	Abnormality of limb bone morphology	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	Microcephaly	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	Anophthalmia	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	Microphthalmia	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	Brain very small	Mus musculus
Frs2	['FRS2', 'fibroblast growth factor receptor substrate 2']	Abnormal heart morphology	Mus musculus
Dach1	DACH1	cell proliferation phenotype	Mus musculus
Dach1	DACH1	respiratory gaseous exchange phenotype	Mus musculus
Dach1	DACH1	preweaning lethality, complete penetrance	Mus musculus
Dach1	DACH1	neonatal lethality, complete penetrance	Mus musculus
Dach1	DACH1	decreased pancreatic beta cell proliferation	Mus musculus
Dach1	DACH1	small pancreatic islets	Mus musculus
Dach1	DACH1	decreased pancreatic alpha cell number	Mus musculus
Dach1	DACH1	absent gastric milk in neonates	Mus musculus
Dach1	DACH1	Cyanosis	Mus musculus
Dach1	DACH1	Dyspnea	Mus musculus
Dach1	DACH1	Reduced pancreatic beta cells	Mus musculus
Dach1	DACH1	Poor suck	Mus musculus
Hnrnpc	['HNRNPC', 'heterogeneous nuclear ribonucleoprotein C (C1/C2)']	embryonic growth arrest	Mus musculus
Hnrnpc	['HNRNPC', 'heterogeneous nuclear ribonucleoprotein C (C1/C2)']	failure to gastrulate	Mus musculus
Hnrnpc	['HNRNPC', 'heterogeneous nuclear ribonucleoprotein C (C1/C2)']	embryonic lethality between implantation and somite formation, complete penetrance	Mus musculus
Hnrnpc	['HNRNPC', 'heterogeneous nuclear ribonucleoprotein C (C1/C2)']	prenatal lethality, complete penetrance	Mus musculus
Pacs2	['PACS2', 'phosphofurin acidic cluster sorting protein 2']	decreased grip strength	Mus musculus
Pacs2	['PACS2', 'phosphofurin acidic cluster sorting protein 2']	hypoactivity	Mus musculus
Pacs2	['PACS2', 'phosphofurin acidic cluster sorting protein 2']	increased startle reflex	Mus musculus
Pacs2	['PACS2', 'phosphofurin acidic cluster sorting protein 2']	abnormal locomotor activation	Mus musculus
Pacs2	['PACS2', 'phosphofurin acidic cluster sorting protein 2']	decreased lean body mass	Mus musculus
Pacs2	['PACS2', 'phosphofurin acidic cluster sorting protein 2']	Behavioral abnormality	Mus musculus
Pacs2	['PACS2', 'phosphofurin acidic cluster sorting protein 2']	Short tibia	Mus musculus
Pacs2	['PACS2', 'phosphofurin acidic cluster sorting protein 2']	abnormal response/metabolism to endogenous compounds	Mus musculus
Pacs2	['PACS2', 'phosphofurin acidic cluster sorting protein 2']	decreased apoptosis	Mus musculus
Cyfip1	['CYFIP1', 'cytoplasmic FMR1 interacting protein 1']	preweaning lethality	Mus musculus
Cyfip1	['CYFIP1', 'cytoplasmic FMR1 interacting protein 1']	embryonic lethality	Mus musculus
Cyfip1	['CYFIP1', 'cytoplasmic FMR1 interacting protein 1']	prenatal lethality, complete penetrance	Mus musculus
Cyfip1	['CYFIP1', 'cytoplasmic FMR1 interacting protein 1']	embryonic lethality between somite formation and embryo turning, complete penetrance	Mus musculus
Cyfip1	['CYFIP1', 'cytoplasmic FMR1 interacting protein 1']	kinked neural tube	Mus musculus
Cyfip1	['CYFIP1', 'cytoplasmic FMR1 interacting protein 1']	delayed somite formation	Mus musculus
Cyfip1	['CYFIP1', 'cytoplasmic FMR1 interacting protein 1']	abnormal rostral-caudal body axis extension	Mus musculus
Cyfip1	['CYFIP1', 'cytoplasmic FMR1 interacting protein 1']	impaired somite development	Mus musculus
Cyfip1	['CYFIP1', 'cytoplasmic FMR1 interacting protein 1']	Spina bifida	Mus musculus
Rfx7	['RFX7', 'regulatory factor X, 7']	preweaning lethality, incomplete penetrance	Mus musculus
Nfat5	['NFAT5', 'nuclear factor of activated T-cells 5, tonicity-responsive']	Impaired T cell function	Mus musculus
Nfat5	['NFAT5', 'nuclear factor of activated T-cells 5, tonicity-responsive']	decreased T cell proliferation	Mus musculus
