gene	disease
NCBIGene:4849	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
NCBIGene:9203	prostate cancer
NCBIGene:11254	BMIQ11
NCBIGene:11254	intestinal obstruction
NCBIGene:11254	CFM1
NCBIGene:2258	pancreatic cancer
NCBIGene:2258	Neoplasm Metastasis
NCBIGene:6901	['Barth syndrome', 'Barth Syndrome']
NCBIGene:6901	Moved to 302060
NCBIGene:6901	Familial isolated dilated cardiomyopathy
NCBIGene:6901	left ventricular noncompaction
NCBIGene:2782	Depressive Disorder
NCBIGene:2782	Anxiety
NCBIGene:2563	Epilepsy, Idiopathic Generalized, Susceptibility To, 10
NCBIGene:2563	DEL1P36
NCBIGene:2563	['juvenile myoclonic epilepsy', 'Epilepsy, Myoclonic Juvenile']
NCBIGene:2563	Schizophrenia
NCBIGene:2563	Generalized Epilepsy With Febrile Seizures Plus, Type 1
NCBIGene:7161	SCLC1
NCBIGene:7161	Hepatocellular carcinoma
NCBIGene:7161	adult T-cell leukemia
NCBIGene:7161	['alveolar rhabdomyosarcoma', 'Rhabdomyosarcoma 2']
NCBIGene:23463	IgA glomerulonephritis
NCBIGene:26038	neuroblastoma
NCBIGene:26038	Colorectal Neoplasms
NCBIGene:473	Arthritis, Juvenile
NCBIGene:5226	['hepatocellular carcinoma', 'Hepatocellular Carcinoma']
NCBIGene:2475	['Isolated focal cortical dysplasia type IIa', 'Focal Cortical Dysplasia of Taylor']
NCBIGene:2475	Isolated focal cortical dysplasia type IIb
NCBIGene:2475	Uterine Cervical Neoplasms
NCBIGene:2475	mantle cell lymphoma
NCBIGene:2475	benign mesothelioma
NCBIGene:2475	Hypertrophy, Left Ventricular
NCBIGene:2475	Schizophrenia
NCBIGene:2475	adenocarcinoma
NCBIGene:2475	toxic encephalopathy
NCBIGene:2475	ovarian cancer
NCBIGene:2475	renal cell carcinoma
NCBIGene:2475	Malformations of Cortical Development
NCBIGene:2475	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
NCBIGene:2475	Carcinoma, Small Cell
NCBIGene:2475	['hepatocellular carcinoma', 'Hepatocellular Carcinoma']
NCBIGene:2475	hypertension
NCBIGene:7799	urinary bladder cancer
NCBIGene:7799	Thyroid Neoplasms
NCBIGene:7799	Amphetamine-Related Disorders
NCBIGene:5909	['acute promyelocytic leukemia', 'Acute Promyelocytic Leukemia']
NCBIGene:5909	pancreatic cancer
NCBIGene:5909	Thyroid Neoplasms
NCBIGene:5909	melanoma
NCBIGene:84196	Amphetamine-Related Disorders
NCBIGene:23028	Neoplasm Invasiveness
NCBIGene:23028	non-small cell lung carcinoma
NCBIGene:10236	breast cancer
NCBIGene:55219	Coronary Disease
NCBIGene:6548	['autosomal recessive spinocerebellar ataxia 19', 'Lichtenstein-Knorr Syndrome']
NCBIGene:6548	congestive heart failure
NCBIGene:6548	Diabetes Mellitus, Experimental
NCBIGene:6548	hypertrophic cardiomyopathy
NCBIGene:6548	Pain
NCBIGene:6548	Barrett's esophagus
NCBIGene:339487	Precancerous Conditions
NCBIGene:3065	tongue squamous cell carcinoma
NCBIGene:3065	endometriosis
NCBIGene:3065	heart disease
NCBIGene:6421	['Translocation renal cell carcinoma', 'Renal Cell Carcinoma, Xp11-Associated']
NCBIGene:6421	Arsenic Poisoning
NCBIGene:6421	Skin Diseases
NCBIGene:6421	Human immunodeficiency virus infectious disease
NCBIGene:5690	urinary bladder cancer
NCBIGene:80149	peripheral vascular disease
NCBIGene:4520	autistic disorder
NCBIGene:10946	Human immunodeficiency virus infectious disease
NCBIGene:2899	SCLC1
NCBIGene:8761	IgA glomerulonephritis
NCBIGene:84879	Autosomal recessive primary microcephaly
NCBIGene:84879	Microcephaly 15, Primary, Autosomal Recessive
NCBIGene:84879	microcephaly
NCBIGene:84879	intellectual disability
NCBIGene:84879	speech disorder
NCBIGene:4904	Neoplasm Recurrence, Local
NCBIGene:4904	breast cancer
NCBIGene:6202	breast cancer
NCBIGene:6202	Parkinson's disease
NCBIGene:55706	IgA glomerulonephritis
NCBIGene:7804	Myocardial Infarction, Susceptibility to
NCBIGene:8613	coronary artery disease
NCBIGene:1600	autistic disorder
NCBIGene:4774	DEL1P32P31
NCBIGene:26135	IgA glomerulonephritis
NCBIGene:26135	stomach cancer
NCBIGene:257194	['obesity', 'Obesity']
NCBIGene:57554	Orofacial clefting syndrome
NCBIGene:57554	Cocaine-Related Disorders
NCBIGene:5825	Bile Acid Synthesis Defect, Congenital, 5
NCBIGene:5825	Colorectal Neoplasms
NCBIGene:5825	Zellweger Syndrome
NCBIGene:9411	mantle cell lymphoma
NCBIGene:8412	Substance-Related Disorders
NCBIGene:8412	breast cancer
NCBIGene:6272	coronary artery disease
NCBIGene:6272	cardiovascular system disease
NCBIGene:5686	['osteoporosis', 'Osteoporosis']
NCBIGene:5686	Human immunodeficiency virus infectious disease
NCBIGene:1952	Endometrial Hyperplasia
NCBIGene:388662	Mental Retardation, Autosomal Recessive 48
NCBIGene:388662	autosomal recessive non-syndromic intellectual disability
NCBIGene:1435	Ovarian cancer
NCBIGene:1435	breast cancer
NCBIGene:1435	Paget's disease of bone
NCBIGene:64783	Megakaryoblastic acute myeloid leukemia with t(1;22)(p13;q13)
NCBIGene:829	esophagus squamous cell carcinoma
NCBIGene:6847	adenocarcinoma
NCBIGene:6847	pancreatic cancer
NCBIGene:51592	Differentiated thyroid carcinoma
NCBIGene:51592	Thyroid Cancer, Nonmedullary, 1
NCBIGene:10401	Uterine Cervical Neoplasms
NCBIGene:2209	Acute myeloid leukemia (AML)
NCBIGene:2209	Arthritis, Juvenile
NCBIGene:2209	calcinosis
NCBIGene:2209	Heart Valve Diseases
NCBIGene:4170	Sarcoma
NCBIGene:4170	Barrett's esophagus
NCBIGene:4170	lung benign neoplasm
NCBIGene:4170	['multiple myeloma', 'Myeloma, Multiple']
NCBIGene:4170	Lymphoma, T-Cell, Cutaneous
NCBIGene:405	Abortion, Spontaneous
NCBIGene:405	Neoplasms, Experimental
NCBIGene:405	liver cirrhosis
NCBIGene:405	endometriosis
NCBIGene:405	melanoma
NCBIGene:405	Colorectal Neoplasms
NCBIGene:405	Precursor Cell Lymphoblastic Leukemia-Lymphoma
NCBIGene:405	Drug-Induced Liver Injury
NCBIGene:9869	melanoma
NCBIGene:23126	Mental Retardation, Autosomal Dominant 37
NCBIGene:6097	Immunodeficiency 42; IMD42
NCBIGene:3608	Human immunodeficiency virus infectious disease
NCBIGene:54856	intellectual disability
NCBIGene:4209	MGR4
NCBIGene:7203	Human immunodeficiency virus infectious disease
NCBIGene:5546	['Translocation renal cell carcinoma', 'Renal Cell Carcinoma, Xp11-Associated']
NCBIGene:5546	['papillary renal cell carcinoma', 'Renal Cell Carcinoma, Papillary, 1']
NCBIGene:5546	Renal cell carcinoma
NCBIGene:1314	Autoimmune Interstitial Lung, Joint, and Kidney Disease
NCBIGene:1314	arthritis
NCBIGene:1314	interstitial lung disease
NCBIGene:257106	polycystic ovary syndrome
NCBIGene:5087	['Precursor B-cell acute lymphoblastic leukemia', 'Leukemia, Acute Lymphoblastic, Susceptibility To, 3']
NCBIGene:5087	Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)
NCBIGene:5087	Substance-Related Disorders
NCBIGene:5087	['Burkitt lymphoma', 'Burkitt Lymphoma']
NCBIGene:6258	Myocardial Ischemia
NCBIGene:55827	prostate cancer
NCBIGene:7371	prostate cancer
NCBIGene:481	['essential hypertension', 'Hypertension, Essential']
NCBIGene:481	['acute myeloid leukemia', 'Leukemia, Acute Myeloid']
NCBIGene:481	Substance-Related Disorders
NCBIGene:64326	autistic disorder
NCBIGene:460	Brain Injuries
NCBIGene:7143	Abortion, Spontaneous
NCBIGene:9213	basal ganglia calcification
NCBIGene:9213	Basal Ganglia Calcification, Idiopathic, 6
NCBIGene:9213	calcinosis
NCBIGene:9213	basal ganglia disease
NCBIGene:10625	prostate cancer
NCBIGene:7175	Thyroid cancer
NCBIGene:7175	Differentiated thyroid carcinoma
NCBIGene:7175	Thyroid Neoplasms
NCBIGene:5743	Cholangiocarcinoma
NCBIGene:5743	Esophageal cancer
NCBIGene:5743	Penile cancer
NCBIGene:5743	oral submucous fibrosis
NCBIGene:5743	Carcinoma
NCBIGene:5743	lung disease
NCBIGene:5743	stomach cancer
NCBIGene:5743	tongue cancer
NCBIGene:5743	endometriosis
NCBIGene:5743	kidney disease
NCBIGene:5743	proteinuria
NCBIGene:5743	urinary bladder cancer
NCBIGene:5743	Skin Diseases
NCBIGene:5743	familial adenomatous polyposis
NCBIGene:5743	abdominal aortic aneurysm
NCBIGene:5743	chronic lymphocytic leukemia
NCBIGene:5743	adrenal gland cancer
NCBIGene:5743	Liver Cirrhosis, Experimental
NCBIGene:5743	tongue squamous cell carcinoma
NCBIGene:5743	Puberty, Precocious
NCBIGene:5743	B-cell lymphoma
NCBIGene:5743	mouth disease
NCBIGene:5743	Cognition Disorders
NCBIGene:5743	cholangiocarcinoma
NCBIGene:5743	papilloma
NCBIGene:5743	status epilepticus
NCBIGene:5743	leiomyosarcoma
NCBIGene:5743	invasive ductal carcinoma
NCBIGene:5743	open-angle glaucoma
NCBIGene:5743	['esophagus adenocarcinoma', 'Barrett Esophagus']
NCBIGene:5743	adenocarcinoma
NCBIGene:5743	congestive heart failure
NCBIGene:5743	gastroesophageal reflux disease
NCBIGene:5743	Diabetes Mellitus, Experimental
NCBIGene:5743	hyperglycemia
NCBIGene:5743	esophagus squamous cell carcinoma
NCBIGene:5743	Asthma, Aspirin-Induced
NCBIGene:5743	Reperfusion Injury
NCBIGene:5743	Precancerous Conditions
NCBIGene:5743	Brain Injuries
NCBIGene:5743	Colonic Neoplasms
NCBIGene:5743	Depressive Disorder
NCBIGene:5743	['obesity', 'Obesity']
NCBIGene:5743	visual epilepsy
NCBIGene:5743	Neoplasm Recurrence, Local
NCBIGene:5743	bone cancer
NCBIGene:5743	diabetes mellitus
NCBIGene:5743	Amyotrophic Lateral Sclerosis
NCBIGene:5743	Thrombosis
NCBIGene:5743	Colorectal Neoplasms
NCBIGene:5743	pancreatic cancer
NCBIGene:5743	coronary artery disease
NCBIGene:5743	Mouth Neoplasms
NCBIGene:5743	Barrett's esophagus
NCBIGene:5743	malignant glioma
NCBIGene:5743	['hepatocellular carcinoma', 'Hepatocellular Carcinoma']
NCBIGene:5743	Skin Neoplasms
NCBIGene:5743	Hyperemia
NCBIGene:5743	cardiomyopathy
NCBIGene:5743	Thyroid Neoplasms
NCBIGene:5743	autistic disorder
NCBIGene:5743	in situ carcinoma
NCBIGene:5743	cancer
NCBIGene:5743	['head and neck squamous cell carcinoma', 'Squamous Cell Carcinoma, Head and Neck']
NCBIGene:5743	lung benign neoplasm
NCBIGene:5743	chronic kidney failure
NCBIGene:5743	rheumatoid arthritis
NCBIGene:5743	Leukoplakia, Oral
NCBIGene:5743	asphyxia neonatorum
NCBIGene:5743	Neurogenic Inflammation
NCBIGene:5743	pericardial effusion
NCBIGene:5743	duodenal ulcer
NCBIGene:5743	Albuminuria
NCBIGene:5743	systemic lupus erythematosus
NCBIGene:5743	inflammatory bowel disease
NCBIGene:5743	renal cell carcinoma
NCBIGene:5743	melanoma
NCBIGene:5743	esophageal cancer
NCBIGene:5743	gastric ulcer
NCBIGene:5743	hydronephrosis
NCBIGene:5743	transitional cell carcinoma
NCBIGene:5743	colitis
NCBIGene:5743	Arrhythmias, Cardiac
NCBIGene:5743	Atherosclerosis
NCBIGene:5743	nervous system disease
NCBIGene:5743	pancreatitis
NCBIGene:5743	Premature Birth
NCBIGene:5743	prostate cancer
NCBIGene:5743	kidney cancer
NCBIGene:5743	brain ischemia
NCBIGene:5743	breast cancer
NCBIGene:5743	Graves Ophthalmopathy
NCBIGene:5743	Stroke
NCBIGene:5743	Neoplasm Metastasis
NCBIGene:5743	bladder neck obstruction
NCBIGene:5743	Hyperalgesia
NCBIGene:23046	ulcerative colitis
NCBIGene:2494	pancreatic cancer
NCBIGene:2494	anovulation
NCBIGene:2494	Infertility, Female
NCBIGene:1999	biliary tract cancer
NCBIGene:5287	Neoplasm Metastasis
NCBIGene:9877	breast cancer
NCBIGene:4194	breast cancer
NCBIGene:4194	glioblastoma multiforme
NCBIGene:4194	pneumoconiosis
NCBIGene:5362	Schizophrenia
NCBIGene:7779	visual epilepsy
NCBIGene:5629	Neoplasm Metastasis
NCBIGene:5629	['type 2 diabetes mellitus', 'Diabetes Mellitus, Noninsulin-Dependent']
NCBIGene:9926	IgA glomerulonephritis
NCBIGene:4139	autistic disorder
NCBIGene:4139	stomach cancer
NCBIGene:55740	IgA glomerulonephritis
NCBIGene:55740	['acute myeloid leukemia', 'Leukemia, Acute Myeloid']
NCBIGene:51742	salivary gland adenoid cystic carcinoma
NCBIGene:163882	thyroid gland disease
NCBIGene:23040	Mental Retardation, Autosomal Dominant 39
NCBIGene:4953	Colorectal Cancer
NCBIGene:4953	Colonic Neoplasms
NCBIGene:4953	Human immunodeficiency virus infectious disease
NCBIGene:4953	Skin Neoplasms
NCBIGene:4953	papilloma
NCBIGene:6241	['hepatocellular carcinoma', 'Hepatocellular Carcinoma']
NCBIGene:6241	Colorectal Neoplasms
NCBIGene:6241	polycystic ovary syndrome
NCBIGene:6241	IgA glomerulonephritis
NCBIGene:1653	nephroblastoma
NCBIGene:1653	Endometrial Hyperplasia
NCBIGene:1653	Substance-Related Disorders
NCBIGene:9475	Prenatal Injuries
NCBIGene:8648	prostate cancer
NCBIGene:8648	Mammary Neoplasms, Experimental
NCBIGene:8648	Neoplasm Metastasis
NCBIGene:8648	breast cancer
NCBIGene:8648	endometriosis
NCBIGene:3797	Amyotrophic lateral sclerosis 1
NCBIGene:55252	urinary bladder cancer
NCBIGene:790	Congenital Disorder of Glycosylation, Type Iz
NCBIGene:790	['beta thalassemia', 'Beta-Thalassemia']
NCBIGene:790	congenital hypoplastic anemia
NCBIGene:790	hereditary spherocytosis
NCBIGene:790	['sickle cell anemia', 'Sickle Cell Anemia']
NCBIGene:790	Leukemia, Erythroblastic, Acute
NCBIGene:2355	glioblastoma multiforme
NCBIGene:2355	Arthritis, Juvenile
NCBIGene:57448	cancer
NCBIGene:6546	status epilepticus
NCBIGene:6546	megacolon
NCBIGene:6546	Myocardial Ischemia
NCBIGene:6546	Myocardial Reperfusion Injury
NCBIGene:6546	visual epilepsy
NCBIGene:5581	Substance-Related Disorders
NCBIGene:5581	Hyperalgesia
NCBIGene:5581	peripheral nervous system disease
NCBIGene:5581	Colorectal Neoplasms
NCBIGene:5581	liver cancer
NCBIGene:5581	Myocardial Ischemia
NCBIGene:5581	Diabetic Nephropathies
NCBIGene:5581	coronary stenosis
NCBIGene:5581	cardiomyopathy
NCBIGene:5581	Diabetes Mellitus, Experimental
NCBIGene:23198	Human immunodeficiency virus infectious disease
NCBIGene:5966	Hodgkin lymphoma
NCBIGene:5966	psoriasis
NCBIGene:5966	Memory Disorders
NCBIGene:5966	Hodgkin's lymphoma
NCBIGene:5966	rheumatoid arthritis
NCBIGene:4211	breast cancer
NCBIGene:4211	restless legs syndrome
NCBIGene:57162	Skin Diseases
NCBIGene:57162	Arsenic Poisoning
NCBIGene:54465	pancreatic cancer
NCBIGene:10097	IgA glomerulonephritis
NCBIGene:4190	Drug-Induced Liver Injury
NCBIGene:4190	hypertension
NCBIGene:1496	stomach cancer
NCBIGene:25885	['acrofacial dysostosis Cincinnati type', 'Acrofacial Dysostosis, Cincinnati Type']
NCBIGene:3631	intellectual disability
NCBIGene:4862	autistic disorder
NCBIGene:10018	sclerosing cholangitis
NCBIGene:344558	Amphetamine-Related Disorders
NCBIGene:57628	Precancerous Conditions
NCBIGene:57628	liver cancer
NCBIGene:57628	Child Development Disorders, Pervasive
NCBIGene:7849	Thyroid ectopia
NCBIGene:7849	['Thyroid hemiagenesis', 'Hypothyroidism, Congenital, Nongoitrous, 2']
NCBIGene:7849	Differentiated thyroid carcinoma
NCBIGene:7849	Athyreosis
NCBIGene:7849	Thyroid hypoplasia
NCBIGene:7849	Thyroid cancer
NCBIGene:7849	Colorectal Neoplasms
NCBIGene:7849	Thyroid Cancer, Nonmedullary, 2
NCBIGene:23190	keratoconus
NCBIGene:4249	Liver Cirrhosis, Experimental
NCBIGene:4929	Parkinson Disease, Late-Onset
NCBIGene:4929	Parkinson Disease Overview
NCBIGene:4929	Arsenic Poisoning
NCBIGene:4929	Arthritis, Juvenile
NCBIGene:4929	Colorectal Neoplasms
NCBIGene:4929	Skin Diseases
NCBIGene:4929	psoriatic arthritis
NCBIGene:64844	IgA glomerulonephritis
NCBIGene:10010	breast cancer
NCBIGene:6328	complex partial epilepsy
NCBIGene:27347	autistic disorder
NCBIGene:9874	Neoplasm Recurrence, Local
NCBIGene:9874	salivary gland adenoid cystic carcinoma
NCBIGene:9874	IgA glomerulonephritis
NCBIGene:1745	Craniofacial Abnormalities
NCBIGene:1745	autistic disorder
NCBIGene:1745	Child Development Disorders, Pervasive
NCBIGene:220988	Schizophrenia
NCBIGene:114880	peripheral nervous system disease
NCBIGene:10203	allergic contact dermatitis
NCBIGene:6775	Systemic Lupus Erythematosus, Susceptibility To, 11
NCBIGene:6775	Juvenile rheumatoid factor-negative polyarthritis
NCBIGene:6775	Pediatric systemic lupus erythematosus
NCBIGene:6775	Oligoarticular juvenile arthritis
NCBIGene:6775	["Behcet's disease", 'Behcet Syndrome']
NCBIGene:6775	Sjogren's Syndrome
NCBIGene:6775	systemic lupus erythematosus
NCBIGene:6775	['hepatocellular carcinoma', 'Hepatocellular Carcinoma']
NCBIGene:6775	Rheumatoid Arthritis
NCBIGene:6775	multiple sclerosis
NCBIGene:6775	primary biliary cirrhosis
NCBIGene:6775	systemic scleroderma
NCBIGene:2744	Abortion, Spontaneous
NCBIGene:2744	Osteoarthritis
NCBIGene:23451	['myelodysplastic syndrome', 'Myelodysplastic Syndrome']
NCBIGene:23451	Acquired idiopathic sideroblastic anemia
NCBIGene:23451	chronic lymphocytic leukemia
NCBIGene:23451	uveal melanoma
NCBIGene:57181	Neoplasm Invasiveness
NCBIGene:8837	pancreatic cancer
NCBIGene:8837	Lymphoma, Extranodal NK-T-Cell
NCBIGene:8837	['myelodysplastic syndrome', 'Myelodysplastic Syndrome']
NCBIGene:8837	Hodgkin's lymphoma
NCBIGene:8837	leukemia
NCBIGene:65059	peripheral nervous system disease
NCBIGene:1385	Histiocytoma, Angiomatoid Fibrous
NCBIGene:1385	Melanoma of soft parts
NCBIGene:1385	Substance Withdrawal Syndrome
NCBIGene:1385	Cocaine-Related Disorders
NCBIGene:1385	myocardial infarction
NCBIGene:1385	morphine dependence
NCBIGene:4133	Arthritis, Juvenile
NCBIGene:4133	Abortion, Spontaneous
NCBIGene:22807	adult T-cell leukemia
NCBIGene:22807	Precursor Cell Lymphoblastic Leukemia-Lymphoma
NCBIGene:10109	ulcerative colitis
NCBIGene:4691	Myocardial Ischemia
NCBIGene:55054	Inflammatory Bowel Disease 10
NCBIGene:55054	Crohn Disease
NCBIGene:55054	inflammatory bowel disease
NCBIGene:116987	autistic disorder
NCBIGene:3069	autistic disorder
NCBIGene:3069	Neoplastic Processes
NCBIGene:3069	['2q37 microdeletion syndrome', 'Chromosome 2Q37 Deletion Syndrome']
NCBIGene:2917	Orofacial clefting syndrome
NCBIGene:2917	Substance-Related Disorders
NCBIGene:2917	attention deficit hyperactivity disorder
NCBIGene:8553	Myocardial Ischemia
NCBIGene:8553	glioblastoma multiforme
NCBIGene:152330	DEL3PTERP25
NCBIGene:152330	Craniofacial Abnormalities
NCBIGene:152330	autistic disorder
NCBIGene:152330	Developmental Disabilities
NCBIGene:9901	pilocytic astrocytoma
NCBIGene:9901	intellectual disability
NCBIGene:9901	Chromosome 3, monosomy 3p25
NCBIGene:491	Deafness, Autosomal Recessive 12
NCBIGene:6529	Myoclonic-astastic epilepsy
NCBIGene:6529	Myoclonic-Atonic Epilepsy
NCBIGene:6529	visual epilepsy
NCBIGene:6529	Schizophrenia
NCBIGene:6529	Amyotrophic Lateral Sclerosis
NCBIGene:152273	breast cancer
NCBIGene:7182	endometriosis
NCBIGene:1618	MGCT
NCBIGene:7325	['type 2 diabetes mellitus', 'Diabetes Mellitus, Noninsulin-Dependent']
NCBIGene:7155	Prostatic Intraepithelial Neoplasia
NCBIGene:57599	Autosomal recessive spastic paraplegia type 60
NCBIGene:9943	IgA glomerulonephritis
NCBIGene:9045	Parkinson's disease
NCBIGene:9045	renal cell carcinoma
NCBIGene:29072	Sotos syndrome
NCBIGene:29072	salivary gland adenoid cystic carcinoma
NCBIGene:29072	benign breast phyllodes tumor
NCBIGene:29072	renal cell carcinoma
NCBIGene:29072	leukemia
NCBIGene:29072	breast cancer
NCBIGene:6599	lung benign neoplasm
NCBIGene:6599	adenocarcinoma
NCBIGene:51447	["Huntington's disease", 'Huntington Disease']
NCBIGene:8927	heart disease
NCBIGene:6405	Endometrial Neoplasms
NCBIGene:2912	temporal lobe epilepsy
NCBIGene:2912	Amphetamine-Related Disorders
NCBIGene:2912	Schizophrenia
NCBIGene:2912	drug psychosis
NCBIGene:51368	IgA glomerulonephritis
NCBIGene:9254	Chorea
NCBIGene:9254	Infertility, Female
NCBIGene:9254	Ataxia
NCBIGene:9254	childhood absence epilepsy
NCBIGene:211	porphyria
NCBIGene:55193	Clear cell papillary renal cell carcinoma
NCBIGene:55193	renal cell carcinoma
NCBIGene:55193	thymoma
NCBIGene:54899	systemic lupus erythematosus
NCBIGene:54899	rheumatoid arthritis
NCBIGene:7871	Brugada syndrome
NCBIGene:9223	salivary gland adenoid cystic carcinoma
NCBIGene:9861	Human immunodeficiency virus infectious disease
NCBIGene:9861	['type 2 diabetes mellitus', 'Diabetes Mellitus, Noninsulin-Dependent']
NCBIGene:868	multiple sclerosis
NCBIGene:868	Encephalomyelitis, Autoimmune, Experimental
NCBIGene:214	Carcinoma
NCBIGene:214	Mammary Neoplasms, Animal
NCBIGene:214	Mammary Neoplasms, Experimental
NCBIGene:2932	Depressive Disorder
NCBIGene:2932	mantle cell lymphoma
NCBIGene:2932	Schizophrenia
NCBIGene:2932	Arthritis, Experimental
NCBIGene:2932	Ceroid Lipofuscinosis, Neuronal, 6
NCBIGene:2932	prostate cancer
NCBIGene:2932	bipolar disorder
NCBIGene:2932	Alzheimer's disease
NCBIGene:2932	Cardiomegaly
NCBIGene:2932	Acute Kidney Injury
NCBIGene:2932	Peritonitis
NCBIGene:2932	congestive heart failure
NCBIGene:2932	myocardial infarction
NCBIGene:11167	Acute Kidney Injury
NCBIGene:11167	aortic valve insufficiency
NCBIGene:942	contact dermatitis
NCBIGene:942	liver disease
NCBIGene:942	['multiple myeloma', 'Myeloma, Multiple']
NCBIGene:3836	Schizophrenia
NCBIGene:8997	Coronary Heart Disease, Susceptibility To, 5
NCBIGene:29927	Craniofacial Abnormalities
NCBIGene:23129	Truncus arteriosus
NCBIGene:23129	MBS1
NCBIGene:11073	chronic lymphocytic leukemia
NCBIGene:5291	Schizophrenia
NCBIGene:5291	diffuse large B-cell lymphoma
NCBIGene:4154	IgA glomerulonephritis
NCBIGene:8833	['acute myeloid leukemia', 'Leukemia, Acute Myeloid']
NCBIGene:57018	IgA glomerulonephritis
NCBIGene:25976	ovarian cancer
NCBIGene:2122	Acute myeloid leukemia with inv3(p21;q26.2) or t(3;3)(p21;q26.2)
NCBIGene:2122	['myelodysplastic syndrome', 'Myelodysplastic Syndrome']
NCBIGene:2122	Chronic myeloid leukemia (CML)
NCBIGene:2122	myeloid leukemia
NCBIGene:2122	ovarian cancer
NCBIGene:2122	breast cancer
NCBIGene:2122	Colonic Neoplasms
NCBIGene:2122	Nasopharyngeal Neoplasms
NCBIGene:2122	lymphoblastic leukemia
NCBIGene:64778	['primary open angle glaucoma', 'Glaucoma, Primary Open Angle']
NCBIGene:64778	keratoconus
NCBIGene:23043	Arthritis, Juvenile
NCBIGene:23043	Arsenic Poisoning
NCBIGene:23043	Skin Diseases
NCBIGene:79718	['acute promyelocytic leukemia', 'Acute Promyelocytic Leukemia']
NCBIGene:79718	IgA glomerulonephritis
NCBIGene:10644	['type 2 diabetes mellitus', 'Diabetes Mellitus, Noninsulin-Dependent']
NCBIGene:1974	Neoplasm Metastasis
NCBIGene:2119	Prostate cancer
NCBIGene:604	Primary mediastinal large B-cell lymphoma
NCBIGene:604	Intravascular large B-cell lymphoma
NCBIGene:604	FL1
NCBIGene:604	Hairy-cell leukemia
NCBIGene:604	non-Hodgkin lymphoma
NCBIGene:604	Lymphoma, T-Cell
NCBIGene:5062	Schizophrenia
NCBIGene:5062	proteinuria
NCBIGene:6165	Diamond-Blackfan Anemia 5
NCBIGene:6165	Diamond-Blackfan anemia
NCBIGene:6165	Diamond-Blackfan Anemia
NCBIGene:1739	cleft palate
NCBIGene:1739	Schizophrenia
NCBIGene:1487	WHCR
NCBIGene:1487	Colorectal Neoplasms
NCBIGene:2580	Parkinson's disease
NCBIGene:7468	WHCR
NCBIGene:7468	Multiple myeloma
NCBIGene:7468	Cell Transformation, Neoplastic
NCBIGene:7468	breast cancer
NCBIGene:3064	["Huntington's disease", 'Huntington Disease']
NCBIGene:3064	Juvenile Huntington disease
NCBIGene:3064	Huntington Disease
NCBIGene:3064	Movement Disorders
NCBIGene:152789	autistic disorder
NCBIGene:9948	['osteoporosis', 'Osteoporosis']
NCBIGene:9948	thrombocytopenia
NCBIGene:10891	Amyotrophic lateral sclerosis
NCBIGene:10891	Diabetes Mellitus, Experimental
NCBIGene:10891	congestive heart failure
