disease	disease label	simple score	scaled score
OMIM:142680	TNF receptor-associated periodic fever syndrome (TRAPS)	0.99643	0.851019
OMIM:247200	Miller-Dieker Lissencephaly Syndrome	0.99608	0.8510028333
OMIM:216550	Cohen Syndrome	0.97527	0.8506321667
OMIM:601559	Stuve-Wiedemann Syndrome	0.97571	0.8505465
OMIM:173800	Poland Syndrome	0.99757	0.8505336667
OMIM:210720	Microcephalic osteodysplastic primordial dwarfism type 2	0.96425	0.8502691667
OMIM:606170	Genitopatellar Syndrome	0.99757	0.8497645
OMIM:248500	Mannosidosis, Alpha B, Lysosomal	0.99603	0.8497393333
OMIM:613406	chromosome 15q24 deletion syndrome	0.96299	0.8492858333
OMIM:218600	Baller-Gerold syndrome	0.97685	0.849068
OMIM:115150	Cardiofaciocutaneous syndrome 1	0.97563	0.8488193333
OMIM:123450	Cri-Du-Chat Syndrome	0.99566	0.8487735
OMIM:149730	LADD syndrome	0.99886	0.8486961667
OMIM:200980	Acro-renal-mandibular syndrome	0.99649	0.8486115
OMIM:151660	Familial partial lipodystrophy, Dunnigan type	0.99641	0.8479386667
OMIM:106210	Congenital aniridia	0.97656	0.8477808333
OMIM:248910	Hennekam-Beemer syndrome	0.9651	0.8476501667
OMIM:100300	Adams-Oliver Syndrome 1	0.99614	0.8476075
OMIM:309585	Wilson-Turner X-Linked Mental Retardation Syndrome	0.95466	0.8474003333
OMIM:607014	Hurler syndrome	0.95647	0.8469741667
OMIM:235730	Mowat-Wilson Syndrome	0.96319	0.8466625
OMIM:118450	Alagille syndrome due to 20p12 microdeletion	0.99626	0.846611
OMIM:261600	Phenylketonuria	0.99641	0.8464498333
OMIM:134780	Femoral-Facial Syndrome	0.99763	0.8463975
OMIM:270150	Sjogren's syndrome	0.93029	0.8455605
OMIM:105650	Diamond-Blackfan Anemia 1	0.99678	0.8454926667
OMIM:211750	C syndrome	0.99732	0.8453485
OMIM:614866	Peroxisome Biogenesis Disorder 5A (Zellweger)	0.97542	0.8451078333
OMIM:213980	Cerebro-facio-thoracic dysplasia	0.95553	0.845028
OMIM:222600	Diastrophic Dysplasia	0.99624	0.845018
OMIM:101400	Saethre-Chotzen syndrome	0.99824	0.8446808333
OMIM:308205	Ifap Syndrome With or Without Bresheck Syndrome	0.97536	0.8444386667
OMIM:601186	Microphthalmia syndromic 9	0.99637	0.8440543333
OMIM:264800	Pseudoxanthoma Elasticum	0.96328	0.8436911667
OMIM:225410	Ehlers-Danlos syndrome, dermatosparaxis type	0.99722	0.8436475
OMIM:234100	Hallermann-Streiff syndrome	0.9967	0.8435256667
OMIM:181450	Ulnar-mammary syndrome	0.99709	0.843503
OMIM:612513	Chromosome 2P16.1-P15 Deletion Syndrome	0.94247	0.8434345
OMIM:224690	Meier-Gorlin syndrome 1	0.99738	0.8433908333
OMIM:141750	Alpha-Thalassemia/Mental Retardation Syndrome, Chromosome 16-Related	0.97538	0.8433663333
OMIM:222448	Donnai-Barrow Syndrome	0.99626	0.843118
OMIM:100100	Prune belly syndrome	0.99608	0.8429556667
OMIM:139210	Myhre syndrome	0.99641	0.8429043333
OMIM:611775	Kawasaki disease	0.97687	0.8420541667
OMIM:300624	Fragile 10 Mental Retardation Syndrome	0.99633	0.8419036667
OMIM:169400	Pelger-Huet Anomaly	0.96357	0.8418436667
OMIM:309400	Menkes Disease	0.96357	0.8417568333
OMIM:300373	Osteopathia Striata With Cranial Sclerosis	0.96425	0.8417308333
OMIM:305000	Dyskeratosis congenita X-linked	0.9962	0.8416935
OMIM:272800	Tay-Sachs disease	0.97548	0.8414961667
OMIM:203450	Alexander Disease	0.99597	0.8414841667
OMIM:100800	Achondroplasia	0.99682	0.8408796667
OMIM:208150	Fetal akinesia deformation sequence	0.94847	0.8402578333
OMIM:612219	Ewing sarcoma	0.97517	0.8400603333
OMIM:305400	Aarskog-Scott syndrome	0.99585	0.8399158333
OMIM:259050	Intellectual disability - cataracts - calcified pinnae - myopathy	0.99603	0.839859
OMIM:309350	Melnick-Needles Syndrome	0.99716	0.8396825
OMIM:268310	Robinow Syndrome, Autosomal Recessive	0.97581	0.8394078333
OMIM:249630	Mental Retardation, Buenos Aires Type	0.99653	0.8392991667
OMIM:150230	trichorhinophalangeal syndrome type II	0.99601	0.8390921667
OMIM:156810	Microgastria-Limb Reduction Defects Association	0.9978	0.8390731667
OMIM:260400	Shwachman-Diamond syndrome	0.9968	0.8387663333
OMIM:263300	polycythemia vera	0.95576	0.8377525
OMIM:212720	Martsolf syndrome	0.99714	0.837738
OMIM:245150	Keutel syndrome	0.99809	0.837311
OMIM:182230	Septooptic Dysplasia	0.99645	0.8372696667
OMIM:607323	Duane-Radial Ray Syndrome	0.99639	0.8368471667
OMIM:107320	antiphospholipid syndrome	0.93765	0.8368216667
OMIM:173650	Kindler's syndrome	0.99693	0.8362183333
OMIM:103200	Adiposis Dolorosa	0.99655	0.8361688333
OMIM:193700	Arthrogryposis, Distal, Type 2A	0.99601	0.8361615
OMIM:193300	Von Hippel-Lindau Syndrome	0.9754	0.8359005
OMIM:228520	Fibrochondrogenesis 1	0.99668	0.835827
OMIM:223900	Familial dysautonomia	0.99624	0.8357485
OMIM:268130	Revesz Syndrome	0.99689	0.8357346667
OMIM:180050	Retinal Detachment	0.9395	0.8356128333
OMIM:179613	Recombinant 8 syndrome	0.97519	0.8355991667
OMIM:254200	myasthenia gravis	0.94324	0.8350991667
OMIM:604292	Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3	0.96386	0.8350133333
OMIM:201750	Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis	0.99574	0.8348726667
OMIM:241200	Bartter syndrome, type 2, antenatal	0.97552	0.8345603333
OMIM:211960	Tel Hashomer camptodactyly syndrome	0.99645	0.8345088333
OMIM:600880	hepatic vein thrombosis	0.99655	0.834331
OMIM:220110	cytochrome-c oxidase deficiency disease	0.97594	0.8342208333
OMIM:214110	Peroxisome biogenesis disorder 2A	0.97542	0.8338475
OMIM:124200	keratosis follicularis	0.99782	0.8338213333
OMIM:607330	Lathosterolosis	0.97571	0.8334991667
OMIM:601626	acute myeloid leukemia	0.92755	0.8334895
OMIM:170100	Prolidase deficiency	0.99616	0.833351
OMIM:213700	Cerebrotendinous Xanthomatosis	0.99583	0.8331795
OMIM:613563	Noonan Syndrome-Like Disorder With or Without Juvenile Myelomonocytic Leukemia	0.96361	0.8330713333
OMIM:258315	Omodysplasia 1	0.99761	0.8328876667
OMIM:606232	Phelan-Mcdermid Syndrome	0.96413	0.8327786667
OMIM:606812	Fumaric aciduria	0.97557	0.832696
OMIM:223370	Dubowitz Syndrome	0.92011	0.8325501667
OMIM:268800	Sandhoff Disease	0.97513	0.8323921667
OMIM:253290	Lethal multiple pterygium syndrome	0.9437	0.832253
OMIM:301040	Alpha-Thalassemia/Mental Retardation Syndrome, X-Linked	0.94843	0.8320735
OMIM:305100	Ectodermal Dysplasia 1, Hypohidrotic, X-Linked	0.99637	0.8318631667
OMIM:175100	Gardner syndrome	0.99734	0.8318503333
OMIM:212066	Congenital Disorder of Glycosylation, Type Iia	0.99655	0.831705
OMIM:602613	Skeletal Dysplasia and Progressive Central Nervous System Degeneration, Lethal	0.99657	0.831269
OMIM:192430	Shprintzen syndrome	0.99606	0.8304635
OMIM:613179	Purine-nucleoside phosphorylase deficiency	0.9967	0.830365
OMIM:230740	Gapo Syndrome	0.9552	0.8303251667
OMIM:302960	Chondrodysplasia Punctata 2, X-Linked Dominant	0.99805	0.8301173333
OMIM:300755	Bruton-type agammaglobulinemia	0.9759	0.8300085
OMIM:311450	W syndrome	0.99738	0.829955
OMIM:101000	Neurofibromatosis, Type 2	0.99653	0.8298681667
OMIM:163950	Noonan Syndrome 1	0.96336	0.8297806667
OMIM:305450	Opitz-Kaveggia Syndrome	0.97536	0.8297743333
OMIM:181270	Scalp ear nipple syndrome	0.99622	0.8297563333
OMIM:600268	Toriello-Lacassie-Droste syndrome	0.97542	0.8297503333
OMIM:312080	Pelizaeus-Merzbacher disease	0.99618	0.8294813333
OMIM:228000	Farber's lipogranulomatosis	0.99703	0.829447
OMIM:135500	Zimmermann-Laband Syndrome 1	0.96361	0.8292518333
OMIM:147791	Jacobsen syndrome	0.92838	0.829213
OMIM:154800	Mast Cell Disease	0.9651	0.8290035
OMIM:306900	Hereditary factor IX deficiency disease	0.9426	0.8287705
OMIM:301900	Borjeson-Forssman-Lehmann Syndrome	0.99624	0.8287175
OMIM:119800	clubfoot	0.99682	0.8285911667
OMIM:151050	Lenz-Majewski Hyperostotic Dwarfism	0.99649	0.828562
OMIM:117650	Cerebrocostomandibular Syndrome	0.99651	0.8284346667
OMIM:275400	Oliver-Mcfarlane Syndrome	0.9966	0.8283493333
OMIM:102500	Hajdu-Cheney syndrome	0.99716	0.828262
OMIM:239850	Hypertrichotic osteochondrodysplasia	0.99763	0.8281805
OMIM:101200	acrocephalosyndactylia	0.99687	0.8277288333
OMIM:225750	Aicardi Goutieres syndrome 1	0.99616	0.8275053333
OMIM:264475	Pseudopapilledema, Ocular Hypotelorism, Blepharophimosis, and Hand Anomalies	0.95453	0.827466
OMIM:242900	Schimke immuno-osseous dysplasia	0.97673	0.827318
OMIM:248700	Marden-Walker Syndrome	0.99593	0.8269525
OMIM:123790	Beare-Stevenson Cutis Gyrata Syndrome	0.99601	0.826936
OMIM:154400	Nager syndrome	0.96533	0.8268123333
OMIM:241500	Infantile hypophosphatasia	0.97544	0.8266286667
OMIM:231000	Gaucher Disease, Type 3	0.97584	0.8265698333
OMIM:611174	Hamamy Syndrome	0.99585	0.8262256667
OMIM:263520	Short-Rib Thoracic Dysplasia 6 With or Without Polydactyly	0.99745	0.826037
OMIM:206500	Anencephaly	0.96334	0.8259925
OMIM:278250	Wrinkly Skin Syndrome	0.99597	0.8259253333
OMIM:309801	Microphthalmia with linear skin defects syndrome	0.9966	0.82588
OMIM:300337	Hypomelanosis of Ito	0.99616	0.8258326667
OMIM:608579	Severe Cutaneous Adverse Reaction, Susceptibility to	0.92409	0.8255446667
OMIM:202400	Afibrinogenemia, congenital	0.99651	0.825544
OMIM:200110	Ablepharon-Macrostomia Syndrome	0.99618	0.8253518333
OMIM:252920	mucopolysaccharidosis III	0.96359	0.825217
OMIM:192315	Vasculopathy, retinal, with cerebral leukodystrophy	0.99664	0.8250833333
OMIM:231680	multiple acyl-CoA dehydrogenase deficiency	0.99653	0.8249708333
OMIM:225500	Ellis-Van Creveld syndrome	0.99886	0.8248693333
OMIM:257200	Niemann-Pick disease, type A	0.97532	0.824809
OMIM:600376	Hereditary hemorrhagic telangiectasia type 2	0.97683	0.824613
OMIM:214150	COFS syndrome	0.99705	0.8245123333
OMIM:309580	Mental Retardation-Hypotonic Facies Syndrome, X-Linked, 1	0.97538	0.8236041667
OMIM:212750	Celiac Disease, Susceptibility To, 1	0.9753	0.8235648333
OMIM:256700	Neuroblastoma, Susceptibility to	0.99628	0.8234455
OMIM:191100	Tuberous Sclerosis 1	0.97658	0.8233961667
OMIM:147250	Solitary Median Maxillary Central Incisor	0.99633	0.8232656667
OMIM:269700	Lipodystrophy, Congenital Generalized, Type 2	0.97534	0.8232186667
OMIM:300068	Androgen Insensitivity Syndrome	0.97544	0.8232091667
OMIM:200150	Choreoacanthocytosis	0.99647	0.8230751667
OMIM:202650	Dysgnathia complex	0.99603	0.822787
OMIM:232240	Phosphate transport defect	0.99693	0.8227063333
OMIM:256040	Nakajo-Nishimura syndrome	0.94802	0.82266
OMIM:608799	Congenital disorder of glycosylation type 1E	0.94252	0.8223173333
OMIM:300869	Xq27.3q28 duplication syndrome	0.96352	0.8221321667
OMIM:156400	Metaphyseal chondrodysplasia, Jansen type	0.99599	0.8221216667
OMIM:609945	Brachyphalangy, Polydactyly, and Tibial Aplasia/Hypoplasia	0.97677	0.8220846667
OMIM:208050	Arterial tortuosity syndrome	0.99618	0.8220235
OMIM:607932	Microphthalmia, Syndromic 6	0.96382	0.821963
OMIM:309800	Microphthalmia, Syndromic 1	0.97646	0.8218163333
OMIM:615108	Cowden syndrome 5	0.94831	0.8217458333
OMIM:615109	Cowden syndrome 6	0.94831	0.8217458333
OMIM:106400	diffuse idiopathic skeletal hyperostosis	0.99732	0.8216651667
OMIM:222300	Wolfram Syndrome 1	0.99776	0.8215708333
OMIM:608710	Wegener Granulomatosis	0.91952	0.8215516667
OMIM:187300	Telangiectasia, Hereditary Hemorrhagic, of Rendu, Osler, and Weber	0.97683	0.8215151667
OMIM:158170	Chromosome 9P Deletion Syndrome	0.97569	0.8212928333
OMIM:249270	Thiamine-Responsive Megaloblastic Anemia Syndrome	0.97667	0.8211876667
OMIM:143095	Spondyloepiphyseal Dysplasia With Congenital Joint Dislocations	0.99637	0.8207488333
OMIM:311200	Oral-facial-digital syndrome	0.94293	0.8207096667
OMIM:608594	Lipodystrophy, Congenital Generalized, Type 1	0.97534	0.820339
OMIM:601347	Myelodysplasia, Immunodeficiency, Facial Dysmorphism, Short Stature, and Psychomotor Delay	0.99593	0.8200833333
OMIM:136140	Floating-Harbor syndrome	0.95458	0.8199963333
OMIM:210500	biliary atresia	0.99649	0.819783
OMIM:300813	synovial sarcoma	0.99595	0.8197616667
OMIM:216411	Cockayne Syndrome, Type 3	0.97561	0.8195571667
OMIM:211910	Camptodactyly Syndrome, Guadalajara, Type 1	0.99732	0.8193898333
OMIM:187600	Thanatophoric dysplasia type 1	0.97694	0.8193543333
OMIM:181000	Sarcoidosis 1	0.99668	0.8191401667
OMIM:203500	Alkaptonuria	0.97561	0.8191051667
OMIM:169170	Patterson Pseudoleprechaunism Syndrome	0.99614	0.8190578333
OMIM:244300	Kapur-Toriello syndrome	0.96433	0.8187503333
OMIM:118400	Cherubism	0.97631	0.8183783333
OMIM:187601	Thanatophoric dysplasia, type 2	0.97694	0.818356
OMIM:145410	Autosomal dominant Opitz G/BBB syndrome	0.96371	0.8183245
OMIM:263700	Congenital erythropoietic porphyria	0.94823	0.8181163333
OMIM:277170	Joubert syndrome with orofaciodigital defect	0.99734	0.8173125
OMIM:203700	Mitochondrial Dna Depletion Syndrome 4A (Alpers Type)	0.97532	0.8170775
OMIM:608068	Sweet syndrome	0.93382	0.8170503333
OMIM:180700	Robinow Syndrome, Autosomal Dominant 1	0.97536	0.8169646667
OMIM:257220	Niemann-Pick Disease, Type C1	0.99641	0.8167561667
OMIM:176000	Porphyria, Acute Intermittent	0.97505	0.8166408333
OMIM:222470	Trichohepatoenteric syndrome	0.94262	0.8163411667
OMIM:200995	Acrocephalopolydactylous Dysplasia	0.99643	0.8161566667
OMIM:156550	Kniest Dysplasia	0.99633	0.816126
OMIM:314580	Intellectual disability-developmental delay-contractures syndrome	0.99657	0.8159353333
OMIM:253010	Mucopolysaccharidosis type 4B	0.99639	0.8159303333
OMIM:261800	Weissenbacher-Zweymüller syndrome	0.96506	0.8159091667
OMIM:194350	Wt Limb-Blood Syndrome	0.99707	0.8158235
OMIM:600430	Chromosome 2Q37 Deletion Syndrome	0.9272	0.8156241667
OMIM:200990	acrocallosal syndrome	0.96326	0.815611
OMIM:260660	Cousin syndrome	0.99724	0.8154323333
OMIM:267450	newborn respiratory distress syndrome	0.94762	0.8152828333
OMIM:615026	ariboflavinosis	0.9963	0.8151308333
OMIM:310400	X-linked centronuclear myopathy	0.97625	0.8150473333
OMIM:608612	Mandibuloacral dysplasia with type B lipodystrophy	0.99639	0.8150146667
OMIM:305620	Frontometaphyseal Dysplasia	0.99759	0.8149003333
OMIM:277400	Methylmalonic acidemia with homocystinuria	0.97569	0.8145776667
OMIM:229050	Congenital defect of folate absorption	0.99743	0.8145318333
OMIM:137940	Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome	0.99693	0.8143973333
OMIM:121050	Congenital contractural arachnodactyly	0.99664	0.8141338333
OMIM:241410	hypoparathyroidism-retardation-dysmorphism syndrome	0.95437	0.8139963333
OMIM:610198	3-Methylglutaconic Aciduria, Type 5	0.9974	0.8138883333
OMIM:613675	Chromosome 17Q11.2 Deletion Syndrome, 1.4-Mb	0.97538	0.81381
OMIM:251300	Microcephaly, hiatal hernia and nephrotic syndrome	0.93382	0.8135908333
OMIM:263540	Postaxial polydactyly - dental and vertebral anomalies	0.99794	0.8134758333
OMIM:188030	Thrombocytopenic Purpura, Autoimmune	0.97571	0.8131883333
OMIM:259900	Primary hyperoxaluria, type I	0.99676	0.8130936667
OMIM:253000	Mucopolysaccharidosis, Type 4A	0.99645	0.8128928333
OMIM:164180	Oculocerebrocutaneous Syndrome	0.99593	0.812849
OMIM:271960	Subaortic stenosis - short stature	0.97554	0.8128093333
OMIM:258900	Orotic Aciduria	0.99743	0.8127248333
OMIM:607823	Hypotrichosis-lymphedema-telangiectasia syndrome	0.96467	0.8125881667
OMIM:192350	VATER association	0.9548	0.8125388333
OMIM:216360	Coach Syndrome	0.94802	0.8125046667
OMIM:277590	Weaver Syndrome	0.9749	0.8123936667
OMIM:114290	campomelic dysplasia	0.99722	0.8123211667
OMIM:158310	Hereditary mucoepithelial dysplasia	0.99633	0.812105
OMIM:183802	Split-Hand With Obstructive Uropathy, Spina Bifida, and Diaphragmatic Defects	0.96317	0.8120486667
OMIM:233450	Goodpasture syndrome	0.97579	0.8119803333
OMIM:258860	Orofacial-digital syndrome IV	0.94285	0.8118333333
OMIM:615471	Mitochondrial Dna Depletion Syndrome 13 (Encephalomyopathic Type)	0.97532	0.8116471667
OMIM:207410	Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis	0.97683	0.8115353333
OMIM:180870	Ruvalcaba Syndrome	0.95485	0.8112853333
OMIM:252930	Sanfilippo syndrome type C	0.96359	0.811168
OMIM:254090	Ullrich Congenital Muscular Dystrophy 1	0.9972	0.8111246667
OMIM:248370	Mandibuloacral Dysplasia With Type a Lipodystrophy	0.97739	0.8110485
