Trait	Match	Match Label	Second Match	Second Label	Third Match	Third Label
Familial colorectal cancer	OMIM:609310	Colorectal Cancer, Hereditary Nonpolyposis, Type 2	OMIM:613244	Colorectal Cancer, Hereditary Nonpolyposis, Type 8	OMIM:614385	Colorectal Cancer, Hereditary Nonpolyposis, Type 7
Not specified	Orphanet:86903	Dendritic cell sarcoma not otherwise specified	Orphanet:99917	Theca steroid-producing cell malignant tumor of ovary, not further specified
Congenital long QT syndrome	OMIM:613695	Long Qt Syndrome 5	OMIM:613693	Long Qt Syndrome 6	OMIM:613688	Long Qt Syndrome 2
Lynch syndrome	OMIM:120435	Lynch Syndrome 1	MESH:C537713	Lynch Lee Murday syndrome	DOID:3883	Lynch syndrome
Rasopathy
Thoracic aortic aneurysms and aortic dissections	Orphanet:285014	Rare disease with thoracic aortic aneurysm and aortic dissection	Orphanet:91387	Familial thoracic aortic aneurysm and aortic dissection	OMIM:607086	Aortic Aneurysm, Familial Thoracic 1
Alport syndrome	OMIM:308940	Leiomyomatosis, Diffuse, With Alport Syndrome	OMIM:104200	Autosomal dominant Alport syndrome	OMIM:301050	X-linked Alport syndrome
Rett syndrome	OMIM:312750	Rett Syndrome	OMIM:613454	Rett Syndrome, Congenital Variant	Orphanet:3095	Atypical Rett syndrome
Ehlers-Danlos syndrome, type 4	OMIM:130000	Ehlers-Danlos Syndrome, Classic Type	OMIM:130050	autosomal dominant type IV Ehlers-Danlos syndrome	OMIM:225400	Ehlers-Danlos syndrome, kyphoscoliotic type
Malignant tumor of prostate	DOID:10289	prostate malignant phyllodes tumor	MESH:C549759	Phyllodes Tumor of the Prostate	DOID:2885	benign prostate phyllodes tumor
Ataxia-telangiectasia syndrome	OMIM:208900	Ataxia-Telangiectasia	OMIM:208910	Ataxia-Telangiectasia With Generalized Skin Pigmentation and Early Death	OMIM:251260	Nijmegen breakage syndrome
Cystic fibrosis	OMIM:603855	Cystic Fibrosis, Modifier Of, 1	OMIM:219700	cystic fibrosis	OMIM:219721	Cystic Fibrosis With Helicobacter Pylori Gastritis, Megaloblastic Anemia, and Mental Retardation
Long QT syndrome	OMIM:613688	Long Qt Syndrome 2	OMIM:603830	Long Qt Syndrome 3	OMIM:613695	Long Qt Syndrome 5
Cornelia de Lange syndrome 1	OMIM:122470	Cornelia De Lange Syndrome 1	OMIM:300590	Cornelia De Lange Syndrome 2	OMIM:300882	Cornelia De Lange Syndrome 5
Hereditary cancer-predisposing syndrome	Orphanet:319462	Inherited cancer-predisposing syndrome due to biallelic BRCA2 mutations	Orphanet:140162	Inherited cancer-predisposing syndrome	Orphanet:319328	Inherited renal cancer-predisposing syndrome
Brugada syndrome	OMIM:611777	Brugada Syndrome 2	OMIM:612838	Brugada Syndrome 5	OMIM:611876	Brugada Syndrome 4
HEMOPHILIA A	OMIM:306900	hemophilia B	OMIM:306700	Hemophilia A	OMIM:306800	Hemophilia a With Vascular Abnormality
Classic Galactosemia	OMIM:230400	Classic galactosemia	DOID:9870	galactosemia	MESH:D005693	Galactosemias
Primary hyperoxaluria, type I	OMIA:001672	Primary hyperoxaluria type I (Oxalosis I)	OMIA:001672-9615	Primary hyperoxaluria type I (Oxalosis I) in dog	OMIM:613616	Primary hyperoxaluria type 3
Normal pregnancy	OMIM:605115	Hypertension, Early-Onset, Autosomal Dominant, With Severe Exacerbation 1N Pregnancy	OMIM:178995	Pruritic urticarial papules and plaques of pregnancy	OMIM:147480	Cholestasis, Intrahepatic, of Pregnancy, 1
Familial adenomatous polyposis 1	OMIM:175100	Familial Adenomatous Polyposis 1	MESH:C538265	Familial Adenomatous Polyposis 1	OMIM:608456	Familial Adenomatous Polyposis, 2
Dravet syndrome	DOID:0060171	Dravet Syndrome	Orphanet:255249	Leigh syndrome with nephrotic syndrome	Orphanet:138063	Syndrome associated with Pierre Robin syndrome
Neurofibromatosis, type 1	OMIM:162200	Neurofibromatosis, Type 1	Orphanet:363700	Neurofibromatosis type 1 due to NF1mutation or intragenic deletion	MESH:D009456	Neurofibromatosis, Type 1
Long QT syndrome, LQT1 subtype	OMIM:613688	Long Qt Syndrome 2	OMIM:603830	Long Qt Syndrome 3	OMIM:613695	Long Qt Syndrome 5
Dilated cardiomyopathy 3B	OMIM:302045	Cardiomyopathy, Dilated, 3B	MESH:C580047	Cardiomyopathy, Dilated, 3B	OMIM:600884	Cardiomyopathy, Dilated, 1B
Sotos syndrome 1	OMIM:117550	Sotos Syndrome 1	MESH:D058495	Sotos Syndrome 1	OMIM:614753	Sotos Syndrome 2
Primary familial hypertrophic cardiomyopathy	OMIM:607487	Cardiomyopathy, Familial Hypertrophic, 25	OMIM:612098	Cardiomyopathy, Familial Hypertrophic, 11	OMIM:613243	Cardiomyopathy, Familial Hypertrophic, 13
VARIANT OF UNKNOWN SIGNIFICANCE	MESH:D008998	Monoclonal Gammopathy of Undetermined Significance	DOID:7442	monoclonal gammopathy of uncertain significance	Orphanet:247234	Sporadic adult-onset ataxia of unknown etiology
Duchenne muscular dystrophy	OMIM:310200	Duchenne muscular dystrophy	Orphanet:262	Duchenne and Becker muscular dystrophy	Orphanet:206546	Symptomatic form of muscular dystrophy of Duchenne and Becker in female carriers
Biotinidase deficiency	OMIM:253260	biotinidase deficiency	DOID:856	biotinidase deficiency	OMIM:611126	Mitochondrial Complex 1 Deficiency Due to Acad9 Deficiency
Severe myoclonic epilepsy in infancy	Orphanet:86909	Myoclonic epilepsy of infancy	Orphanet:166299	Benign partial epilepsy of infancy with complex partial seizures	Orphanet:166302	Benign partial epilepsy with secondarily generalized seizures in infancy
Familial Mediterranean fever	OMIM:249100	Familial Mediterranean Fever	OMIM:134610	Familial Mediterranean Fever, Autosomal Dominant	DOID:2987	familial Mediterranean fever
Cardiomyopathy, familial hypertrophic, 4	OMIM:115197	Cardiomyopathy, Familial Hypertrophic, 4	MESH:C566169	Cardiomyopathy, Familial Hypertrophic, 4	OMIM:608758	Cardiomyopathy, Familial Hypertrophic, 10
Multiple Congenital Anomalies (+/- Neurodevelopmental symptoms)
Gorlin syndrome	MESH:C537289	Gorlin Bushkell Jensen syndrome	MESH:C537036	Lopes Gorlin syndrome	OMIM:109400	nevoid basal cell carcinoma syndrome
Gestational diabetes mellitus uncontrolled	DOID:11714	gestational diabetes	Orphanet:3390	Proximal tubulopathy - diabetes mellitus - cerebellar ataxia	OMIM:560000	Renal Tubulopathy, Diabetes Mellitus, and Cerebellar Ataxia
Marfan syndrome	OMIM:154700	Marfan syndrome type 1	OMIA:000628-9913	Marfan Syndrome	OMIA:000628	Marfan syndrome
Primary Autosomal Recessive Microcephaly	OMIM:608393	Microcephaly 6, Primary, Autosomal Recessive	OMIM:616051	Microcephaly 13, Primary, Autosomal Recessive	OMIM:615095	Microcephaly 10, Primary, Autosomal Recessive
Phenylketonuria	OMIM:261600	Phenylketonuria	DOID:9281	phenylketonuria	Orphanet:79254	Classical phenylketonuria
Preeclampsia	MESH:C538543	Preeclamptic toxemia	HP:0100602	Preeclampsia	DOID:13129	severe pre-eclampsia
Microcephaly 5, primary, autosomal recessive	OMIM:608716	Microcephaly 5, Primary, Autosomal Recessive	MESH:C567221	Microcephaly, Primary Autosomal Recessive, 5, with Simplified Gyral Pattern	MESH:C563871	Microcephaly 5, Primary, Autosomal Recessive
Steinert myotonic dystrophy syndrome	OMIM:160900	myotonic dystrophy type 1	OMIM:602668	myotonic dystrophy type 2	MESH:D009223	Myotonic Dystrophy
Myotubular myopathy, X-linked	OMIM:300219	Myotubular Myopathy With Abnormal Genital Development	OMIA:001508	Myotubular myopathy 1	OMIA:001508-9615	Myotubular myopathy 1 in dog
Dyskeratosis Congenita	OMIM:127550	Dyskeratosis Congenita, Autosomal Dominant, 1	OMIM:613989	Dyskeratosis Congenita, Autosomal Dominant, 2	OMIM:615190	Dyskeratosis Congenita, Autosomal Recessive, 5
Juvenile polyposis syndrome	OMIM:174900	Juvenile Polyposis Syndrome	DOID:0050787	juvenile polyposis syndrome	MESH:C537702	Juvenile Polyposis Syndrome
RECLASSIFIED - VARIANT OF UNKNOWN SIGNIFICANCE	MESH:D008998	Monoclonal Gammopathy of Undetermined Significance	DOID:7442	monoclonal gammopathy of uncertain significance	Orphanet:247234	Sporadic adult-onset ataxia of unknown etiology
Becker muscular dystrophy	OMIM:300376	Muscular Dystrophy, Becker Type	Orphanet:262	Duchenne and Becker muscular dystrophy	Orphanet:206546	Symptomatic form of muscular dystrophy of Duchenne and Becker in female carriers
CYSTIC FIBROSIS	OMIM:603855	Cystic Fibrosis, Modifier Of, 1	OMIM:219700	cystic fibrosis	OMIM:219721	Cystic Fibrosis With Helicobacter Pylori Gastritis, Megaloblastic Anemia, and Mental Retardation
LRRK2-Related Parkinson Disease	OMIM:168600	Parkinson Disease, Late-Onset	OMIM:556500	Parkinson Disease, Mitochondrial	OMIM:613164	Parkinson Disease 16
Hereditary diffuse gastric cancer	OMIM:137215	Gastric Cancer, Hereditary Diffuse	DOID:6217	gastric diffuse adenocarcinoma	OMIM:613659	Gastric Cancer
Finnish congenital nephrotic syndrome	Orphanet:839	Congenital nephrotic syndrome, Finnish type	OMIM:614748	Congenital nephrotic syndrome-interstitial lung disease-epidermolysis bullosa syndrome	MESH:C563805	Nephrotic Syndrome, Congenital, with or without Ocular Abnormalities
Large for gestational age	HP:0001520	Large for gestational age	HP:0001518	Small for gestational age	MESH:D016640	Diabetes, Gestational
Hypertrophic Cardiomyopathy	DOID:11984	hypertrophic cardiomyopathy	OMIM:115197	Cardiomyopathy, Familial Hypertrophic, 4	OMIM:608758	Cardiomyopathy, Familial Hypertrophic, 10
Small for gestational age	HP:0001518	Small for gestational age	HP:0001520	Large for gestational age	MESH:D016640	Diabetes, Gestational
Epileptic encephalopathy, early infantile, 2	OMIM:300672	Epileptic Encephalopathy, Early Infantile, 2	MESH:C564064	Epileptic Encephalopathy, Early Infantile, 2	OMIM:613722	Epileptic Encephalopathy, Early Infantile, 12
Primary dilated cardiomyopathy	OMIM:212112	Dilated cardiomyopathy - hypergonadotropic hypogonadism	DOID:12930	dilated cardiomyopathy	MESH:C538496	Dilated cardiomyopathy, neutropenia, skeletal myopathy, and abnormal mitochondria
Primary carnitine deficiency	OMIM:212140	systemic primary carnitine deficiency disease	DOID:14365	systemic primary carnitine deficiency disease	OMIM:255120	Carnitine palmitoyl transferase 1A deficiency
Hydatidiform mole	OMIM:231090	Hydatidiform Mole, Recurrent, 1	OMIM:614293	Hydatidiform Mole, Recurrent, 2	MESH:D006828	Hydatidiform Mole
Alexander's disease	OMIM:203450	Alexander disease	Orphanet:275752	Sickle cell disease and related diseases	Orphanet:98291	Lymphoproliferative disease associated with primary immune disease
Cardiomyopathy, hypertrophic	DOID:11984	hypertrophic cardiomyopathy	OMIM:115197	Cardiomyopathy, Familial Hypertrophic, 4	OMIM:608758	Cardiomyopathy, Familial Hypertrophic, 10
Oral-Facial-Digital Syndrome Type I	DOID:14720	type I Ehlers-Danlos syndrome	DECIPHER:42	Cat-Eye Syndrome (Type I)	OMIM:240300	Autoimmune Polyendocrine Syndrome, Type I, With or Without Reversible Metaphyseal Dysplasia
MODY2	OMIM:125851	Maturity-Onset Diabetes of the Young, Type 2
Malformation of Cortical Development	MESH:D065704	Malformations of Cortical Development, Group III	MESH:D065703	Malformations of Cortical Development, Group I	MESH:D054081	Malformations of Cortical Development, Group II
Congenital muscular dystrophy	OMIM:607855	Muscular Dystrophy, Congenital Merosin-Deficient, 1A	OMIM:602541	Muscular Dystrophy, Congenital, Megaconial Type	OMIM:613204	Muscular Dystrophy, Congenital, Due to Integrin Alpha-7 Deficiency
Spastic Paraplegia 11	OMIM:604360	Autosomal recessive spastic paraplegia type 11	MESH:C537483	Autosomal recessive spastic paraplegia type 11	OMIM:270750	Spastic Paraplegia 23
Deafness, autosomal recessive 1A	OMIM:220290	Deafness, Autosomal Recessive 1A	MESH:C567134	Deafness, Autosomal Recessive 1A	OMIM:219100	Cutis Laxa, Autosomal Recessive, Type 1A
Multiple endocrine neoplasia, type 2	Orphanet:653	Multiple endocrine neoplasia type 2	OMIM:162300	multiple endocrine neoplasia type 2B	OMIM:131100	multiple endocrine neoplasia type 1
Retinitis pigmentosa	DOID:10584	retinitis pigmentosa	OMIM:613194	Retinitis Pigmentosa 50	OMIM:600105	Retinitis Pigmentosa 12
Peutz-Jeghers syndrome	OMIM:175200	Peutz-Jeghers syndrome	DOID:3852	Peutz-Jeghers syndrome	Orphanet:255249	Leigh syndrome with nephrotic syndrome
Usher syndrome, type 2A	OMIM:276901	Usher Syndrome, Type 2A	MESH:C536490	Usher Syndrome, Type 2A	OMIM:276900	Usher Syndrome, Type 1
MYH-associated polyposis	OMIM:175505	Polyposis of Gastric Fundus Without Polyposis Coli	MESH:C566775	Polyposis of Gastric Fundus Without Polyposis Coli	Orphanet:314022	Gastric adenocarcinoma and proximal polyposis of the stomach
Angelman syndrome	OMIM:105830	Angelman syndrome	Orphanet:98795	Angelman syndrome due to paternal uniparental disomy of chromosome 15	Orphanet:98794	Angelman syndrome due to maternal 15q11q13 deletion
Renal cell carcinoma, papillary, 1	OMIM:605074	Renal Cell Carcinoma, Papillary, 1	HP:0011797	Papillary renal cell carcinoma type 1	DOID:4465	papillary renal cell carcinoma
Non-ketotic hyperglycinemia	HP:0002154	Hyperglycinemia	HP:0008288	Nonketotic hyperglycinemia	OMIM:605899	glycine encephalopathy
Familial cold urticaria	OMIM:120100	Familial cold urticaria	MESH:C569627	Familial cold urticaria	OMIM:611762	Familial Cold Autoinflammatory Syndrome 2
Pendred's syndrome	Orphanet:255249	Leigh syndrome with nephrotic syndrome	Orphanet:138063	Syndrome associated with Pierre Robin syndrome	DECIPHER:16	22q11 Deletion Syndrome (Velocardiofacial / Digeorge Syndrome)
Lissencephaly 1	OMIM:607432	Lissencephaly 1	OMIM:300067	Lissencephaly, X-Linked, 1	Orphanet:2148	Lissencephaly type 1 due to doublecortin gene mutation
Mowat-Wilson Syndrome: Autosomal dominant inheritence	OMIM:235730	Mowat-Wilson syndrome	Orphanet:261537	Mowat-Wilson syndrome due to monosomy 2q22	Orphanet:261552	Mowat-Wilson syndrome due to a ZEB2 point mutation
Usher syndrome, type 1B	MESH:C567181	Loeys-Dietz Syndrome, Type 1b	OMIM:276900	Usher Syndrome, Type 1	OMIM:605472	Usher Syndrome, Type 2C
HEMOPHILIA B	OMIM:306900	hemophilia B	Orphanet:177929	Symptomatic form of hemophilia B in female carriers	Orphanet:169796	Moderately severe hemophilia B
Cohen syndrome	OMIM:216550	Cohen syndrome	MESH:C537676	Gay Feinmesser Cohen syndrome	MESH:C536438	Cohen syndrome
Hyperimmunoglobulin D with periodic fever	OMIM:260920	Hyperimmunoglobulinemia D with periodic fever	OMIM:142680	Periodic Fever, Familial, Autosomal Dominant	OMIM:614674	Periodic Fever, Menstrual Cycle-Dependent
Mucolipidosis II	OMIA:001248-9685	Mucolipidosis II in domestic cat	OMIA:001248-7955	Mucolipidosis II in zebrafish	OMIA:001248	Mucolipidosis II
Abnormality of neuronal migration	HP:0002269	Abnormality of neuronal migration	Orphanet:163209	Non-syndromic cerebral malformation due to abnormal neuronal migration	MP:0006009	abnormal neuronal migration
Marfan Syndrome	OMIM:154700	Marfan syndrome type 1	OMIA:000628-9913	Marfan Syndrome	OMIA:000628	Marfan syndrome
OTOF-Related Deafness	OMIM:500008	Deafness, Nonsyndromic Sensorineural, Mitochondrial	Orphanet:168609	Mitochondrial non-syndromic sensorineural deafness with susceptibility to aminoglycoside exposure	OMIM:580000	Deafness, Aminoglycoside-Induced
Kabuki syndrome 1	OMIM:147920	Kabuki Syndrome 1	MESH:C537705	Kabuki Syndrome 1	OMIM:300867	Kabuki Syndrome 2
TNF receptor-associated periodic fever syndrome (TRAPS)	OMIA:001561	Periodic Fever Syndrome	Orphanet:324924	Hereditary periodic fever syndrome	Orphanet:101995	Periodic fever syndrome
Microcephaly, normal intelligence and immunodeficiency	Orphanet:331240	Immunodeficiency with severe reduction in serum IgG and IgA with normal/elevated IgM and normal number of B-cells	Orphanet:331232	Immunodeficiency with isotype or light chain deficiencies with normal number of B-cells	OMIM:611291	Severe Combined Immunodeficiency With Microcephaly, Growth Retardation, and Sensitivity to Ionizing Radiation
Menkes disease	OMIM:309400	Menkes disease	DOID:1838	Menkes disease	Orphanet:275752	Sickle cell disease and related diseases
Retinoblastoma	OMIM:180200	Retinoblastoma	OMIM:308290	Imprinting Gene Related to Retinoblastoma	DOID:6938	pediatric Intraocular retinoblastoma
Li-Fraumeni syndrome	DOID:3012	Li-Fraumeni syndrome	OMIM:609265	Li-Fraumeni Syndrome 2	OMIM:609266	Li-Fraumeni Syndrome 3
Cystic Fibrosis	OMIM:603855	Cystic Fibrosis, Modifier Of, 1	OMIM:219700	cystic fibrosis	OMIM:219721	Cystic Fibrosis With Helicobacter Pylori Gastritis, Megaloblastic Anemia, and Mental Retardation
Rubinstein-Taybi syndrome	OMIM:613684	Rubinstein-Taybi Syndrome 2	OMIM:180849	Rubinstein-Taybi Syndrome 1	Orphanet:353284	Rubinstein-Taybi syndrome due to EP300 haploinsufficiency
Polycystic kidney disease, infantile type	OMIM:600273	Polycystic Kidney Disease, Infantile Severe, With Tuberous Sclerosis	OMIM:263210	Polycystic Kidney Disease, Potter Type I, With Microbrachycephaly, Hypertelorism, and Brachymelia	Orphanet:88924	Autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis
Mowat-Wilson syndrome	OMIM:235730	Mowat-Wilson syndrome	Orphanet:261537	Mowat-Wilson syndrome due to monosomy 2q22	Orphanet:261552	Mowat-Wilson syndrome due to a ZEB2 point mutation
Sarcoidosis, early-onset	OMIM:609464	Sarcoidosis, Early-Onset	MESH:C563714	Sarcoidosis, Early-Onset	Orphanet:329249	Severe early-onset obesity-insulin resistance syndrome due to SH2B1 deficiency
Benign Familial Neonatal Seizures	OMIM:269720	Seizures, Benign Familial Neonatal, Autosomal Recessive	OMIM:121200	Seizures, Benign Familial Neonatal, 1	OMIM:121201	Seizures, Benign Familial Neonatal, 2
Angelman Syndrome	OMIM:105830	Angelman syndrome	Orphanet:98795	Angelman syndrome due to paternal uniparental disomy of chromosome 15	Orphanet:98794	Angelman syndrome due to maternal 15q11q13 deletion
Cardiomyopathy, dilated, 1G	OMIM:604145	Cardiomyopathy, Dilated, 1G	MESH:C565824	Cardiomyopathy, Dilated, 1G	OMIM:212112	Dilated cardiomyopathy - hypergonadotropic hypogonadism
Familial hypertrophic cardiomyopathy 4	OMIM:115197	Cardiomyopathy, Familial Hypertrophic, 4	MESH:C566169	Cardiomyopathy, Familial Hypertrophic, 4	OMIM:607487	Cardiomyopathy, Familial Hypertrophic, 25
Adenomatous polyposis coli	MESH:D011125	Adenomatous Polyposis Coli	OMIM:175505	Polyposis of Gastric Fundus Without Polyposis Coli	MESH:C566775	Polyposis of Gastric Fundus Without Polyposis Coli
Familial hypertrophic cardiomyopathy 1	OMIM:192600	Cardiomyopathy, Familial Hypertrophic, 1	MESH:C566005	Cardiomyopathy, Familial Hypertrophic, 1	OMIM:115197	Cardiomyopathy, Familial Hypertrophic, 4
Central Core Disease	DOID:3529	central core myopathy	OMIA:000172	Central core myopathy	OMIA:000172-9615	Central core myopathy in dog
Noonan syndrome 1	OMIM:163950	Noonan Syndrome 1	MESH:D009634	Noonan Syndrome 1	OMIM:605275	Noonan Syndrome 2
Lynch syndrome I	MESH:C537261	Lynch syndrome I (site-specific colonic cancer)	OMIM:120435	Lynch Syndrome 1	MESH:C537713	Lynch Lee Murday syndrome
Non-Small Cell Lung Cancer	DOID:3908	non-small cell lung carcinoma	HP:0030358	Non-small cell lung carcinoma	MP:0008716	increased lung non-small cell carcinoma incidence
Maple syrup urine disease	OMIM:248600	Maple Syrup Urine Disease	OMIM:615135	Maple Syrup Urine Disease, Mild Variant	OMIM:246900	maple syrup urine disease
Fabry's disease	OMIM:301500	Fabry disease	Orphanet:275752	Sickle cell disease and related diseases	Orphanet:98291	Lymphoproliferative disease associated with primary immune disease
Rett's disorder	Orphanet:371195	Congenital disorder of glycosylation-related bone disorder	DOID:0050571	congenital disorder of glycosylation type II	Orphanet:79191	Disorder of purine metabolism
Wilson's disease	OMIM:277900	Wilson disease	Orphanet:275752	Sickle cell disease and related diseases	Orphanet:98291	Lymphoproliferative disease associated with primary immune disease
Kabuki make-up syndrome	OMIM:147920	Kabuki Syndrome 1	OMIM:300867	Kabuki Syndrome 2	DC:0000547	Kabuki Syndrome
Limb-girdle muscular dystrophy, type 2B	OMIM:253601	Muscular Dystrophy, Limb-Girdle, Type 2B	Orphanet:268	Autosomal recessive limb-girdle muscular dystrophy type 2B	MESH:C535899	Muscular Dystrophy, Limb-Girdle, Type 2B
Cerebrotendinous Xanthomatosis	OMIM:213700	cerebrotendinous xanthomatosis	DOID:4810	cerebrotendinous xanthomatosis	MESH:C566263	Hyperlipemia with Familial Hypercholesterolemic Xanthomatosis
Noonan syndrome	OMIM:605275	Noonan Syndrome 2	OMIM:163950	Noonan Syndrome 1	Orphanet:98733	Noonan syndrome and Noonan-related syndrome
AIP-Related Familial Isolated Pituitary Adenomas	Orphanet:314777	Familial isolated pituitary adenoma	OMIM:102200	Pituitary Adenoma, Growth Hormone-Secreting, 1	OMIM:219090	Pituitary Adenoma, Acth-Secreting
Permanent Neonatal Diabetes Mellitus	OMIM:606176	Diabetes Mellitus, Permanent Neonatal	Orphanet:99885	Permanent neonatal diabetes mellitus	Orphanet:65288	Permanent neonatal diabetes mellitus - pancreatic and cerebellar agenesis
MITOCHONDRIAL COMPLEX I DEFICIENCY	Orphanet:289527	Fatal infantile hypertrophic cardiomyopathy due to mitochondrial complex I deficiency	MESH:C564021	Leigh Syndrome Due To Mitochondrial Complex I Deficiency	OMIM:611126	Mitochondrial Complex 1 Deficiency Due to Acad9 Deficiency
Osteogenesis Imperfecta	OMIM:166210	Osteogenesis Imperfecta, Type 2	OMIM:166200	Osteogenesis Imperfecta, Type 1	OMIM:259420	Osteogenesis Imperfecta, Type 3
MEN2 phenotype: Unknown	Orphanet:247234	Sporadic adult-onset ataxia of unknown etiology	OMIA:001814	Congenital chondrodystrophy of unknown origin	OMIM:142309	Hemoglobin--Variants for Which the Chain Carrying the Mutation 1S Unknown or Uncertain
Deficiency of UDPglucose-hexose-1-phosphate uridylyltransferase	OMIM:611126	Mitochondrial Complex 1 Deficiency Due to Acad9 Deficiency	OMIM:203750	beta-ketothiolase deficiency	OMIM:193090	Transcobalamin 1 Deficiency
Charcot-Marie-Tooth disease	OMIM:606482	Charcot-Marie-Tooth Disease, Dominant Intermediate B	OMIM:604563	Charcot-Marie-Tooth disease type 4B2	OMIM:607831	Charcot-Marie-Tooth Disease, Axonal, Type 2K
Tuberous sclerosis 2	OMIM:613254	Tuberous Sclerosis 2	MESH:C566021	Tuberous Sclerosis 2	OMIM:191100	Tuberous Sclerosis 1
Arrhythmogenic right ventricular cardiomyopathy	DOID:0050431	arrhythmogenic right ventricular cardiomyopathy	OMIA:000878	Arrhythmogenic right ventricular cardiomyopathy	OMIA:000878-9615	Arrhythmogenic right ventricular cardiomyopathy
Microcephalic osteodysplastic primordial dwarfism, type II	Orphanet:2637	Microcephalic osteodysplastic primordial dwarfism type II	OMIM:210730	Microcephalic Osteodysplastic Primordial Dwarfism, Type 3	OMIM:210720	Microcephalic Osteodysplastic Primordial Dwarfism, Type 2
Von Hippel-Lindau syndrome	OMIM:193300	von Hippel-Lindau disease	DOID:14175	von Hippel-Lindau disease	OMIM:223340	Von Voss-Cherstvoy syndrome
Primary ciliary dyskinesia	OMIM:615294	Ciliary Dyskinesia, Primary, 21	OMIM:615505	Ciliary Dyskinesia, Primary, 28	OMIM:615504	Ciliary Dyskinesia, Primary, 27
DUCHENNE MUSCULAR DYSTROPHY	OMIM:310200	Duchenne muscular dystrophy	Orphanet:262	Duchenne and Becker muscular dystrophy	Orphanet:206546	Symptomatic form of muscular dystrophy of Duchenne and Becker in female carriers
Hermansky-Pudlak Syndrome	OMIM:608233	Hermansky-Pudlak Syndrome 2	OMIM:614076	Hermansky-Pudlak syndrome type 7	OMIM:614077	Hermansky-Pudlak syndrome type 8
Kartagener syndrome	MESH:D007619	Kartagener Syndrome	DOID:0050144	Kartagener syndrome	OMIA:000573-9615	Kartagener syndrome in dog
Juvenile neuronal ceroid lipofuscinosis	OMIA:000181-9825	Neuronal Ceroid Lipofuscinosis, generic in domestic pig	OMIA:001503	Neuronal ceroid lipofuscinosis, 4A	OMIA:001504	Neuronal ceroid lipofuscinosis, 1
Fanconi's anemia	DOID:13636	Fanconi's anemia	MESH:D000742	Anemia, Dyserythropoietic, Congenital	Orphanet:319651	Constitutional megaloblastic anemia with severe neurologic disease
Enlarged vestibular aqueduct syndrome	OMIM:600791	Deafness, Autosomal Recessive 4, With Enlarged Vestibular Aqueduct	DOID:0050332	enlarged vestibular aqueduct	MESH:C566366	Deafness, Autosomal Recessive 4, With Enlarged Vestibular Aqueduct
Ceroid lipofuscinosis neuronal 1	OMIA:001504	Neuronal ceroid lipofuscinosis, 1	OMIA:001504-9615	Neuronal ceroid lipofuscinosis, 1 in dog	MESH:C537948	Ceroid lipofuscinosis, neuronal 1, infantile
Carcinoma of colon	DOID:1520	colon carcinoma	DOID:8826	colon carcinoma in situ	DOID:5629	adenosquamous colon carcinoma
Bardet-Biedl syndrome	OMIM:615992	Bardet-Biedl Syndrome 15	OMIM:615991	Bardet-Biedl Syndrome 14	OMIM:615990	Bardet-Biedl Syndrome 13
