model.iri	model.label	modGene.iri	modGene.label	disease.iri	disease.label
http://www.informatics.jax.org/accession/MGI:2668037	Hexa<tm1Grv>/Hexa<tm1Grv> [involves: 129P2/Ola * C57BL/6J]	http://www.informatics.jax.org/accession/MGI:96073	Hexa	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM03585	NIGMS-GM03585	http://www.ncbi.nlm.nih.gov/gene/3073	HEXA	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM00527	NIGMS-GM00527	http://www.ncbi.nlm.nih.gov/gene/3073	HEXA	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM03586	NIGMS-GM03586	http://www.ncbi.nlm.nih.gov/gene/3073	HEXA	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM03770	NIGMS-GM03770	http://www.ncbi.nlm.nih.gov/gene/3073	HEXA	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM00515	NIGMS-GM00515	http://www.ncbi.nlm.nih.gov/gene/3073	HEXA	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM00221	NIGMS-GM00221	http://www.ncbi.nlm.nih.gov/gene/3073	HEXA	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM23937	NIGMS-GM23937	http://www.ncbi.nlm.nih.gov/gene/3073	HEXA	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM03461	NIGMS-GM03461	http://www.ncbi.nlm.nih.gov/gene/3073	HEXA	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM03441	NIGMS-GM03441	http://www.ncbi.nlm.nih.gov/gene/3073	HEXA	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM01110	NIGMS-GM01110	http://www.ncbi.nlm.nih.gov/gene/3073	HEXA	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM11852	NIGMS-GM11852	http://www.ncbi.nlm.nih.gov/gene/3073	HEXA	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM03575	NIGMS-GM03575	http://www.ncbi.nlm.nih.gov/gene/3073	HEXA	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM11853	NIGMS-GM11853	http://www.ncbi.nlm.nih.gov/gene/3073	HEXA	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM09787	NIGMS-GM09787	http://www.ncbi.nlm.nih.gov/gene/3073	HEXA	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM00502	NIGMS-GM00502	http://www.ncbi.nlm.nih.gov/gene/3073	HEXA	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM02968	NIGMS-GM02968	http://www.ncbi.nlm.nih.gov/gene/3073	HEXA	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM13204	NIGMS-GM13204	http://www.ncbi.nlm.nih.gov/gene/3073	HEXA	http://purl.obolibrary.org/obo/OMIM_272800	[Tay-Sachs Disease,Tay-Sachs disease]
http://www.informatics.jax.org/accession/MGI:3583335	Ret<tm2.1Cos>/Ret<+> [involves: 129S1/Sv * C57BL/6J * FVB/N]	http://www.informatics.jax.org/accession/MGI:97902	Ret	http://purl.obolibrary.org/obo/OMIM_162300	[Multiple Endocrine Neoplasia, Type 2B,Multiple endocrine neoplasia, type 2b,multiple endocrine neoplasia type 2B]
http://www.informatics.jax.org/accession/MGI:3583331	Ret<tm2.1Cos>/Ret<tm2.1Cos> [involves: 129S1/Sv * C57BL/6J * FVB/N]	http://www.informatics.jax.org/accession/MGI:97902	Ret	http://purl.obolibrary.org/obo/OMIM_162300	[Multiple Endocrine Neoplasia, Type 2B,Multiple endocrine neoplasia, type 2b,multiple endocrine neoplasia type 2B]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM11629	NIGMS-GM11629	http://www.ncbi.nlm.nih.gov/gene/5979	RET	http://purl.obolibrary.org/obo/OMIM_162300	[Multiple Endocrine Neoplasia, Type 2B,Multiple endocrine neoplasia, type 2b,multiple endocrine neoplasia type 2B]
http://www.informatics.jax.org/accession/MGI:3793277	Atp7b<tx>/Atp7b<tx> [DL-Atp7b<tx>]	http://www.informatics.jax.org/accession/MGI:103297	Atp7b	http://purl.obolibrary.org/obo/OMIM_277900	[Wilson Disease,Wilson's disease,Wilson disease]
http://www.informatics.jax.org/accession/MGI:3793274	Atp7b<tx-J>/Atp7b<tx-J> [C3H/HeJ-Atp7b<tx-J>/J]	http://www.informatics.jax.org/accession/MGI:103297	Atp7b	http://purl.obolibrary.org/obo/OMIM_277900	[Wilson Disease,Wilson's disease,Wilson disease]
http://www.informatics.jax.org/accession/MGI:3043693	Atp7b<tm1Tcg>/Atp7b<tm1Tcg> [involves: 129S1/Sv]	http://www.informatics.jax.org/accession/MGI:103297	Atp7b	http://purl.obolibrary.org/obo/OMIM_277900	[Wilson Disease,Wilson's disease,Wilson disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM05258	NIGMS-GM05258	http://www.ncbi.nlm.nih.gov/gene/540	ATP7B	http://purl.obolibrary.org/obo/OMIM_277900	[Wilson Disease,Wilson's disease,Wilson disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM05257	NIGMS-GM05257	http://www.ncbi.nlm.nih.gov/gene/540	ATP7B	http://purl.obolibrary.org/obo/OMIM_277900	[Wilson Disease,Wilson's disease,Wilson disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM20956	NIGMS-GM20956	http://www.ncbi.nlm.nih.gov/gene/5373	PMM2	http://purl.obolibrary.org/obo/OMIM_212065	[Congenital Disorder of Glycosylation, Type Ia,Carbohydrate-deficient glycoprotein syndrome type I,PMM2-CDG]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM20942	NIGMS-GM20942	http://www.ncbi.nlm.nih.gov/gene/5373	PMM2	http://purl.obolibrary.org/obo/OMIM_212065	[Congenital Disorder of Glycosylation, Type Ia,Carbohydrate-deficient glycoprotein syndrome type I,PMM2-CDG]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM20945	NIGMS-GM20945	http://www.ncbi.nlm.nih.gov/gene/5373	PMM2	http://purl.obolibrary.org/obo/OMIM_212065	[Congenital Disorder of Glycosylation, Type Ia,Carbohydrate-deficient glycoprotein syndrome type I,PMM2-CDG]
http://www.informatics.jax.org/accession/MGI:5298009	Sepn1<tm1.2Mred>/Sepn1<tm1.2Mred> [involves: 129S2/SvPas * C57BL/6 * C57BL/6J * SJL]	http://www.informatics.jax.org/accession/MGI:2151208	Sepn1	http://purl.obolibrary.org/obo/OMIM_602771	[Rigid Spine Muscular Dystrophy 1,Eichsfeld type congenital muscular dystrophy,Rigid spine syndrome]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM24467	NIGMS-GM24467	http://www.ncbi.nlm.nih.gov/gene/57190	SEPN1	http://purl.obolibrary.org/obo/OMIM_602771	[Rigid Spine Muscular Dystrophy 1,Eichsfeld type congenital muscular dystrophy,Rigid spine syndrome]
http://www.informatics.jax.org/accession/MGI:3850972	Ppm1k<tm1Yiwa>/Ppm1k<tm1Yiwa> [involves: 129/Sv * C57BL/6]	http://www.informatics.jax.org/accession/MGI:2442111	Ppm1k	http://purl.obolibrary.org/obo/OMIM_248600	[Maple Syrup Urine Disease,Maple syrup urine disease]
http://www.informatics.jax.org/accession/MGI:3704920	Tg(Cebpb-tTA)5Bjd/0; Dbt<tm1Geh>/Dbt<tm1Geh>; Tg(tetO-DBT)525AGeh/0 [involves: 129S1/Sv * 129X1/SvJ * C57BL/6J * FVB * NMRI]	http://www.informatics.jax.org/accession/MGI:105386	Dbt	http://purl.obolibrary.org/obo/OMIM_248600	[Maple Syrup Urine Disease,Maple syrup urine disease]
http://www.informatics.jax.org/accession/MGI:3704920	Tg(Cebpb-tTA)5Bjd/0; Dbt<tm1Geh>/Dbt<tm1Geh>; Tg(tetO-DBT)525AGeh/0 [involves: 129S1/Sv * 129X1/SvJ * C57BL/6J * FVB * NMRI]	http://www.ncbi.nlm.nih.gov/gene/1629	DBT	http://purl.obolibrary.org/obo/OMIM_248600	[Maple Syrup Urine Disease,Maple syrup urine disease]
http://www.informatics.jax.org/accession/MGI:3704913	Dbt<tm1Geh>/Dbt<tm1Geh>; Tg(tetO-DBT)A1Geh/0; Tg(Cebpb-tTA)5Bjd/0 [involves: 129S1/Sv * 129X1/SvJ * C57BL/6J * FVB * NMRI]	http://www.informatics.jax.org/accession/MGI:105386	Dbt	http://purl.obolibrary.org/obo/OMIM_248600	[Maple Syrup Urine Disease,Maple syrup urine disease]
http://www.informatics.jax.org/accession/MGI:3704913	Dbt<tm1Geh>/Dbt<tm1Geh>; Tg(tetO-DBT)A1Geh/0; Tg(Cebpb-tTA)5Bjd/0 [involves: 129S1/Sv * 129X1/SvJ * C57BL/6J * FVB * NMRI]	http://www.ncbi.nlm.nih.gov/gene/1629	DBT	http://purl.obolibrary.org/obo/OMIM_248600	[Maple Syrup Urine Disease,Maple syrup urine disease]
http://www.informatics.jax.org/accession/MGI:3704912	Dbt<tm1Geh>/Dbt<tm1Geh> [involves: 129S1/Sv * 129X1/SvJ * C57BL/6J]	http://www.informatics.jax.org/accession/MGI:105386	Dbt	http://purl.obolibrary.org/obo/OMIM_248600	[Maple Syrup Urine Disease,Maple syrup urine disease]
http://www.informatics.jax.org/accession/MGI:3028730	Bcat2<m1Ytc>/Bcat2<m1Ytc> [C57BL/6J-Bcat2<m1Ytc>]	http://www.informatics.jax.org/accession/MGI:1276534	Bcat2	http://purl.obolibrary.org/obo/OMIM_248600	[Maple Syrup Urine Disease,Maple syrup urine disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM00649	NIGMS-GM00649	http://www.ncbi.nlm.nih.gov/gene/593	BCKDHA	http://purl.obolibrary.org/obo/OMIM_248600	[Maple Syrup Urine Disease,Maple syrup urine disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM01099	NIGMS-GM01099	http://www.ncbi.nlm.nih.gov/gene/593	BCKDHA	http://purl.obolibrary.org/obo/OMIM_248600	[Maple Syrup Urine Disease,Maple syrup urine disease]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM00612	NIGMS-GM00612	http://www.ncbi.nlm.nih.gov/gene/1629	DBT	http://purl.obolibrary.org/obo/OMIM_248600	[Maple Syrup Urine Disease,Maple syrup urine disease]
http://www.informatics.jax.org/accession/MGI:5462543	Cbs<tm1Unc>/Cbs<tm1Unc>; Tg(CBS)11181Eri/0 [involves: 129P2/OlaHsd * C57BL/6J]	http://www.ncbi.nlm.nih.gov/gene/875	CBS	http://purl.obolibrary.org/obo/OMIM_236200	[Homocystinuria Due to Cystathionine Beta-Synthase Deficiency,Homocystinuria due to CBS deficiency,Classic homocystinuria]
http://www.informatics.jax.org/accession/MGI:5462543	Cbs<tm1Unc>/Cbs<tm1Unc>; Tg(CBS)11181Eri/0 [involves: 129P2/OlaHsd * C57BL/6J]	http://www.informatics.jax.org/accession/MGI:88285	Cbs	http://purl.obolibrary.org/obo/OMIM_236200	[Homocystinuria Due to Cystathionine Beta-Synthase Deficiency,Homocystinuria due to CBS deficiency,Classic homocystinuria]
http://www.informatics.jax.org/accession/MGI:2660658	Cbs<tm1Unc>/Cbs<tm1Unc> [involves: 129P2/OlaHsd * C57BL/6J]	http://www.informatics.jax.org/accession/MGI:88285	Cbs	http://purl.obolibrary.org/obo/OMIM_236200	[Homocystinuria Due to Cystathionine Beta-Synthase Deficiency,Homocystinuria due to CBS deficiency,Classic homocystinuria]
http://www.informatics.jax.org/accession/MGI:3623008	Cbs<tm1Unc>/Cbs<+> [B6.129P2-Cbs<tm1Unc>/J]	http://www.informatics.jax.org/accession/MGI:88285	Cbs	http://purl.obolibrary.org/obo/OMIM_236200	[Homocystinuria Due to Cystathionine Beta-Synthase Deficiency,Homocystinuria due to CBS deficiency,Classic homocystinuria]
http://www.informatics.jax.org/accession/MGI:3512883	Wt1<tm1Vih>/Wt1<+> [involves: 129S7/SvEvBrd * C57BL/6 * MF1]	http://www.informatics.jax.org/accession/MGI:98968	Wt1	http://purl.obolibrary.org/obo/OMIM_194080	[Denys-Drash Syndrome,Drash syndrome,Denys-Drash syndrome]
http://www.informatics.jax.org/accession/MGI:3611443	Wt1<tm2Hst>/Wt1<+> [chimera involves: 129P2/OlaHsd * C57BL/6JLac * CBA/CaLac]	http://www.informatics.jax.org/accession/MGI:98968	Wt1	http://purl.obolibrary.org/obo/OMIM_194080	[Denys-Drash Syndrome,Drash syndrome,Denys-Drash syndrome]
http://www.informatics.jax.org/accession/MGI:4413583	Wt1<tm1.1Lahe>/Wt1<+> [involves: 129S2/SvPas * C57BL/6 * FVB/NCrl * SJL]	http://www.informatics.jax.org/accession/MGI:98968	Wt1	http://purl.obolibrary.org/obo/OMIM_194080	[Denys-Drash Syndrome,Drash syndrome,Denys-Drash syndrome]
http://www.informatics.jax.org/accession/MGI:3803667	Wt1<tm1Mlh>/Wt1<+> [involves: 129P2/OlaHsd * C57BL/6 * MF1]	http://www.informatics.jax.org/accession/MGI:98968	Wt1	http://purl.obolibrary.org/obo/OMIM_194080	[Denys-Drash Syndrome,Drash syndrome,Denys-Drash syndrome]
http://www.informatics.jax.org/accession/MGI:3803666	Wt1<tm1Mlh>/Wt1<+> [129P2/OlaHsd-Wt1<tm1Mlh>]	http://www.informatics.jax.org/accession/MGI:98968	Wt1	http://purl.obolibrary.org/obo/OMIM_194080	[Denys-Drash Syndrome,Drash syndrome,Denys-Drash syndrome]
http://www.informatics.jax.org/accession/MGI:3803665	Wt1<tm1Mlh>/Wt1<+> [involves: 129P2/OlaHsd * C57BL/6]	http://www.informatics.jax.org/accession/MGI:98968	Wt1	http://purl.obolibrary.org/obo/OMIM_194080	[Denys-Drash Syndrome,Drash syndrome,Denys-Drash syndrome]
http://www.informatics.jax.org/accession/MGI:3586593	Fgfr3<tm1Cxd>/Fgfr3<tm1Cxd> [involves: 129S6/SvEvTac * NIH Black Swiss]	http://www.informatics.jax.org/accession/MGI:95524	Fgfr3	http://purl.obolibrary.org/obo/OMIM_100800	[Achondroplasia,achondroplasia]
http://www.informatics.jax.org/accession/MGI:4947978	Npr2<cn-3J>/Npr2<cn-3J> [MRL/MpJ-Npr2<cn-3J>/GrsrJ]	http://www.informatics.jax.org/accession/MGI:97372	Npr2	http://purl.obolibrary.org/obo/OMIM_100800	[Achondroplasia,achondroplasia]
http://www.informatics.jax.org/accession/MGI:3639744	Fgfr3<tm2Wei>/Fgfr3<+> [involves: 129S1/Sv * 129X1/SvJ * MF1]	http://www.informatics.jax.org/accession/MGI:95524	Fgfr3	http://purl.obolibrary.org/obo/OMIM_100800	[Achondroplasia,achondroplasia]
http://www.informatics.jax.org/accession/MGI:3640198	Fgfr3<tm1.1Iwa>/Fgfr3<+> [involves: 129S6/SvEvTac * FVB/N * NIH Black Swiss]	http://www.informatics.jax.org/accession/MGI:95524	Fgfr3	http://purl.obolibrary.org/obo/OMIM_100800	[Achondroplasia,achondroplasia]
http://www.informatics.jax.org/accession/MGI:3603325	Spred2<Gt(XB228)Byg>/Spred2<Gt(XB228)Byg> [involves: 129P2/OlaHsd * C57BL/6]	http://www.informatics.jax.org/accession/MGI:2150019	Spred2	http://purl.obolibrary.org/obo/OMIM_100800	[Achondroplasia,achondroplasia]
http://www.informatics.jax.org/accession/MGI:3583956	Pthlh<tm1Hmk>/Pthlh<tm1Hmk> [either: (involves: 129S2/SvPas) or (involves: 129S2/SvPas * C57BL/6)]	http://www.informatics.jax.org/accession/MGI:97800	Pthlh	http://purl.obolibrary.org/obo/OMIM_100800	[Achondroplasia,achondroplasia]
http://www.informatics.jax.org/accession/MGI:2183025	Npr2<cn-2J>/Npr2<cn-2J> [B6;CBACa-A<w-J>/A-Kcnj6<wv>/+]	http://www.informatics.jax.org/accession/MGI:97372	Npr2	http://purl.obolibrary.org/obo/OMIM_100800	[Achondroplasia,achondroplasia]
http://www.informatics.jax.org/accession/MGI:3640358	Fgfr3<tm5.1Cxd>/Fgfr3<+> [involves: 129S6/SvEvTac]	http://www.informatics.jax.org/accession/MGI:95524	Fgfr3	http://purl.obolibrary.org/obo/OMIM_100800	[Achondroplasia,achondroplasia]
http://www.informatics.jax.org/accession/MGI:3694235	Acan<cmd>/Acan<cmd> [involves: STOCK T t<low> Itpr3<tf>]	http://www.informatics.jax.org/accession/MGI:99602	Acan	http://purl.obolibrary.org/obo/OMIM_100800	[Achondroplasia,achondroplasia]
http://www.informatics.jax.org/accession/MGI:3640343	Fgfr3<tm3.1Cxd>/Fgfr3<+> [involves: 129S6/SvEvTac]	http://www.informatics.jax.org/accession/MGI:95524	Fgfr3	http://purl.obolibrary.org/obo/OMIM_100800	[Achondroplasia,achondroplasia]
http://www.informatics.jax.org/accession/MGI:3640338	Fgfr3<tm3.1Cxd>/Fgfr3<tm3.1Cxd> [involves: 129S6/SvEvTac]	http://www.informatics.jax.org/accession/MGI:95524	Fgfr3	http://purl.obolibrary.org/obo/OMIM_100800	[Achondroplasia,achondroplasia]
http://www.informatics.jax.org/accession/MGI:5551435	Fgfr3<tm1Llm>/Fgfr3<+> [involves: 129S2/SvPas]	http://www.informatics.jax.org/accession/MGI:95524	Fgfr3	http://purl.obolibrary.org/obo/OMIM_100800	[Achondroplasia,achondroplasia]
http://www.informatics.jax.org/accession/MGI:2182597	Npr2<cn>/Npr2<cn> [AKR/J]	http://www.informatics.jax.org/accession/MGI:97372	Npr2	http://purl.obolibrary.org/obo/OMIM_100800	[Achondroplasia,achondroplasia]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM08859	NIGMS-GM08859	http://www.ncbi.nlm.nih.gov/gene/2261	FGFR3	http://purl.obolibrary.org/obo/OMIM_100800	[Achondroplasia,achondroplasia]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM11317	NIGMS-GM11317	http://www.ncbi.nlm.nih.gov/gene/2261	FGFR3	http://purl.obolibrary.org/obo/OMIM_100800	[Achondroplasia,achondroplasia]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM11316	NIGMS-GM11316	http://www.ncbi.nlm.nih.gov/gene/2261	FGFR3	http://purl.obolibrary.org/obo/OMIM_100800	[Achondroplasia,achondroplasia]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM08858	NIGMS-GM08858	http://www.ncbi.nlm.nih.gov/gene/2261	FGFR3	http://purl.obolibrary.org/obo/OMIM_100800	[Achondroplasia,achondroplasia]
https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM08857	NIGMS-GM08857	http://www.ncbi.nlm.nih.gov/gene/2261	FGFR3	http://purl.obolibrary.org/obo/OMIM_100800	[Achondroplasia,achondroplasia]
http://www.informatics.jax.org/accession/MGI:3849030	Fgfrl1<tm1.1Ptew>/Fgfrl1<tm1.1Ptew> [B6.129-Fgfrl1<tm1.1Ptew>]	http://www.informatics.jax.org/accession/MGI:2150920	Fgfrl1	http://purl.obolibrary.org/obo/OMIM_194190	[Wolf-Hirschhorn Syndrome,Wolf-Hirschhorn syndrome]
http://www.informatics.jax.org/accession/MGI:3851518	Whsc1<tm1Ykan>/Whsc1<+> [involves: 129S2/SvPas * C57BL/6]	http://www.informatics.jax.org/accession/MGI:1276574	Whsc1	http://purl.obolibrary.org/obo/OMIM_194190	[Wolf-Hirschhorn Syndrome,Wolf-Hirschhorn syndrome]
http://www.informatics.jax.org/accession/MGI:3851517	Whsc1<tm1Ykan>/Whsc1<tm1Ykan> [involves: 129S2/SvPas * C57BL/6]	http://www.informatics.jax.org/accession/MGI:1276574	Whsc1	http://purl.obolibrary.org/obo/OMIM_194190	[Wolf-Hirschhorn Syndrome,Wolf-Hirschhorn syndrome]
