disease	disease_label	model_gene	gene_label	model_gene_taxon	owlsim_score	owlsim_rank	models	disease_pheno_count	disease_gene_count	modgene_pheno_count	isLeafNode
OMIM:310200	Muscular Dystrophy, Duchenne Type	ZFIN:ZDB-GENE-010426-1	dmd	Zebrafish	57	1	2	79	9	84	false
OMIM:274500	Deficiency of iodide peroxidase	MGI:98813	Tpo	Mouse	47	1	1	4	1	23	true
OMIM:265120	Surfactant Metabolism Dysfunction, Pulmonary, 1	MGI:1339759	Csf2rb	Mouse	64	1	2	12	3	7	true
OMIM:277900	Wilson disease	MGI:103297	Atp7b	Mouse	60	1	3	107	36	35	false
OMIM:244400	Ciliary Dyskinesia, Primary, 1	MGI:1916172	Dnaic1	Mouse	64	1	3	72	33	28	false
OMIM:601214	Naxos Disease	MGI:96650	Jup	Mouse	70	1	1	20	1	77	true
OMIM:601419	Myofibrillar myopathy 1	MGI:94885	Des	Mouse	53	1	1	15	1	68	true
OMIM:170500	hyperkalemic periodic paralysis	MGI:98250	Scn4a	Mouse	61	1	4	30	2	34	true
OMIM:253601	Limb-girdle muscular dystrophy, type 2B	MGI:1349385	Dysf	Mouse	64	1	4	9	1	15	true
OMIM:206920	Anophthalmos with limb anomalies	MGI:1929878	Smoc1	Mouse	70	1	2	56	1	43	true
OMIM:142900	Holt-Oram Syndrome	MGI:102541	Tbx5	Mouse	72	1	3	43	2	60	false
OMIM:613470	Hemolytic Anemia, Nonspherocytic, Due to Glucose Phosphate Isomerase Deficiency	MGI:95797	Gpi1	Mouse	60	1	2	12	1	25	true
OMIM:142900	Holt-Oram Syndrome	ZFIN:ZDB-GENE-991124-7	tbx5a	Zebrafish	66	1	3	43	2	68	false
OMIM:241520	Autosomal recessive hypophosphatemic vitamin D refractory rickets	MGI:94910	Dmp1	Mouse	68	1	1	6	1	27	true
OMIM:615907	Lymphedema, hereditary, ID	MGI:109124	Vegfc	Mouse	45	1	1	3	1	9	true
OMIM:251880	Mitochondrial Dna Depletion Syndrome 3 (Hepatocerebral Type)	MGI:1857300	Mpv17	Mouse	59	1	1	33	6	134	true
OMIM:613830	Night Blindness, Congenital Stationary, Type 1D	MGI:2384871	Slc24a1	Mouse	62	1	1	1	1	8	true
OMIM:125500	Dentinogenesis imperfecta - Shield's type III	MGI:109172	Dspp	Mouse	61	1	1	3	1	9	true
OMIM:236200	Classic homocystinuria	MGI:88285	Cbs	Mouse	62	1	3	59	2	73	true
OMIM:217090	Hypoplasminogenemia	MGI:97620	Plg	Mouse	77	1	1	24	1	62	true
DOID:9269	maple syrup urine disease	ZFIN:ZDB-GENE-050320-85	dbt	Zebrafish	53	1	1	107	21	12	false
OMIM:120330	Papillorenal Syndrome	MGI:97486	Pax2	Mouse	67	1	6	34	1	124	true
OMIM:193900	White Sponge Nevus 1	MGI:96701	Krt4	Mouse	75	1	2	2	2	13	true
OMIM:176670	progeria	MGI:96794	Lmna	Mouse	63	1	5	365	5	208	false
OMIM:100800	Achondroplasia	MGI:95524	Fgfr3	Mouse	64	1	7	552	10	182	false
OMIM:601885	Cataract 14, Multiple Types	MGI:95714	Gja3	Mouse	100	1	2	1	1	3	true
DOID:0060250	idiopathic scoliosis	ZFIN:ZDB-GENE-061027-130	kif6	Zebrafish	69	1	4	1	2	8	false
DOID:1339	Diamond-Blackfan anemia	ZFIN:ZDB-GENE-040426-1716	rps19	Zebrafish	52	1	3	157	35	69	false
OMIM:210250	Sitosterolemia	MGI:1351659	Abcg5	Mouse	74	1	2	16	2	42	true
OMIM:610915	Osteogenesis imperfecta type 8	MGI:1888921	P3h1	Mouse	65	1	1	26	1	21	true
OMIM:113650	Melnick-Fraser syndrome	MGI:109344	Eya1	Mouse	68	1	4	34	2	111	true
OMIM:310200	Muscular Dystrophy, Duchenne Type	MGI:94909	Dmd	Mouse	72	1	22	79	9	111	false
OMIM:254130	Miyoshi muscular dystrophy 1	MGI:1349385	Dysf	Mouse	53	1	4	10	2	15	false
OMIM:304400	Deafness, X-linked 2	MGI:101894	Pou3f4	Mouse	69	1	10	4	3	39	true
OMIM:601678	Bartter syndrome, type 1, antenatal	MGI:103150	Slc12a1	Mouse	77	1	2	39	1	62	true
OMIM:127550	Dyskeratosis congenita autosomal dominant	MGI:98834	Trp53	Mouse	64	1	1	25	4	271	true
OMIM:612716	Sepiapterin reductase deficiency	MGI:103078	Spr	Mouse	69	1	1	17	1	20	true
OMIM:276700	Tyrosinemia type I	MGI:95482	Fah	Mouse	71	1	4	30	1	40	true
OMIM:161400	Narcolepsy 1	MGI:2680765	Hcrtr2	Mouse	60	1	2	7	2	8	true
OMIM:208400	aspartylglucosaminuria	MGI:104873	Aga	Mouse	63	1	2	73	1	32	false
OMIM:228900	Fibular hypoplasia and complex brachydactyly	MGI:95688	Gdf5	Mouse	65	1	1	46	4	48	false
OMIM:125400	Dentin Dysplasia, Type 1	MGI:109172	Dspp	Mouse	62	1	1	6	3	9	false
OMIM:175200	Peutz-Jeghers Syndrome	MGI:1341870	Stk11	Mouse	62	1	9	66	2	131	true
OMIM:607014	Hurler syndrome	MGI:96418	Idua	Mouse	66	1	5	79	1	98	true
OMIM:614618	Hyperekplexia 3	MGI:105090	Slc6a5	Mouse	73	1	1	4	1	18	true
OMIM:200700	Chondrodysplasia, Grebe Type	MGI:95688	Gdf5	Mouse	66	1	1	51	4	48	false
OMIM:609311	Charcot-Marie-Tooth Disease, Type 4H	MGI:2183747	Fgd4	Mouse	56	1	1	15	1	7	true
OMIM:242500	Ichthyosis, Congenital, Autosomal Recessive 4B	MGI:2676312	Abca12	Mouse	65	1	3	22	1	37	true
OMIM:177000	erythropoietic protoporphyria	MGI:95513	Fech	Mouse	61	1	2	27	6	26	false
OMIM:301200	Amelogenesis imperfecta, type 1E	MGI:88005	Amelx	Mouse	72	1	5	5	2	14	true
OMIM:261600	Phenylketonuria	MGI:97473	Pah	Mouse	65	1	3	163	12	21	false
OMIM:603554	Omenn Syndrome	MGI:97849	Rag2	Mouse	86	1	1	36	9	79	true
OMIM:600791	enlarged vestibular aqueduct	MGI:1346029	Slc26a4	Mouse	71	1	3	3	4	80	true
OMIM:245900	Lecithin:Cholesterol Acyltransferase Deficiency	MGI:96755	Lcat	Mouse	75	1	2	31	2	24	false
OMIM:236690	Hydrocephalus, Normal-Pressure	MGI:4439296	p23-ST1	Mouse	61	1	1	33	0	32	false
OMIM:102530	Spermatogenic Failure 6	MGI:2149946	Gopc	Mouse	100	1	1	2	1	12	true
OMIM:263200	Autosomal recessive polycystic kidney disease	MGI:2155808	Pkhd1	Mouse	66	1	6	37	6	54	false
OMIM:604229	Peters Anomaly	MGI:1353569	Foxe3	Mouse	75	1	1	17	6	35	false
DOID:14686	Axenfeld-Rieger syndrome	ZFIN:ZDB-GENE-990714-27	pitx2	Zebrafish	59	1	1	74	6	64	false
OMIM:305100	Ectodermal Dysplasia 1, Hypohidrotic, X-Linked	MGI:1195272	Eda	Mouse	69	1	2	46	2	73	false
OMIM:125420	Denticles	MGI:109172	Dspp	Mouse	68	1	1	2	1	9	true
OMIM:169610	Pemphigus Vulgaris, Familial	MGI:99499	Dsg3	Mouse	60	2	3	8	0	54	true
OMIM:146510	Pallister-Hall Syndrome	MGI:95729	Gli3	Mouse	66	2	1	77	1	193	true
OMIM:193510	Waardenburg Syndrome, Type 2A	MGI:104554	Mitf	Mouse	66	2	14	12	1	122	true
OMIM:154700	Marfan Syndrome	MGI:95489	Fbn1	Mouse	66	2	8	152	3	131	false
DOID:14503	neuronal ceroid lipofuscinosis	ZFIN:ZDB-GENE-030131-6654	tpp1	Zebrafish	42	2	1	497	50	31	false
OMIM:201250	Acromesomelic Dysplasia, Hunter-Thompson Type	MGI:95688	Gdf5	Mouse	63	2	1	29	1	48	true
OMIM:233700	Chronic granulomatous disease, autosomal recessive cytochrome b-positive, type 1	MGI:97283	Ncf1	Mouse	57	2	4	22	1	40	true
OMIM:161400	Narcolepsy 1	MGI:1202306	Hcrt	Mouse	54	2	1	7	2	23	true
OMIM:180800	Roussy-LC)vy syndrome	MGI:97631	Pmp22	Mouse	50	2	1	20	2	40	true
OMIM:188400	DiGeorge syndrome	MGI:99604	Fgf8	Mouse	66	2	1	236	12	149	false
DOID:206	hereditary multiple exostoses	ZFIN:ZDB-GENE-041124-3	ext2	Zebrafish	53	2	1	349	11	152	false
OMIM:193100	Hypophosphatemic Rickets, Autosomal Dominant	MGI:107489	Phex	Mouse	72	2	1	20	1	113	true
OMIM:608099	Limb-girdle muscular dystrophy, type 2D	MGI:894698	Sgca	Mouse	62	2	2	37	4	17	false
OMIM:187500	Tetralogy of Fallot	MGI:97380	Ntf3	Mouse	63	2	1	96	16	106	false
OMIM:611556	Glycogen Storage Disease 0, Muscle	MGI:101805	Gys1	Mouse	71	2	1	5	1	25	true
OMIM:260000	Primary hyperoxaluria, type II	MGI:1923488	Grhpr	Mouse	80	2	1	6	1	11	true
OMIM:187601	Thanatophoric dysplasia, type 2	MGI:95524	Fgfr3	Mouse	68	2	2	48	1	182	false
OMIM:600995	Nephrotic Syndrome, Type 2	MGI:2157018	Nphs2	Mouse	80	2	3	7	4	45	true
OMIM:263200	Autosomal recessive polycystic kidney disease	MGI:2177632	Cys1	Mouse	63	2	5	37	6	39	false
OMIM:248600	Maple Syrup Urine Disease	MGI:1276534	Bcat2	Mouse	63	2	1	17	13	33	false
OMIM:203300	Hermansky-Pudlak Syndrome 1	MGI:1929230	Bloc1s4	Mouse	61	2	1	19	7	22	true
OMIM:613204	Muscular Dystrophy, Congenital, Due to Integrin Alpha-7 Deficiency	MGI:102700	Itga7	Mouse	56	2	1	12	1	26	true
OMIM:232800	Glycogen Storage Disease 7	MGI:97548	Pfkm	Mouse	64	2	1	40	2	31	false
OMIM:606768	Myopathy, Distal, With Anterior Tibial Onset	MGI:1349385	Dysf	Mouse	75	2	2	3	1	15	true
OMIM:608898	Hemophagocytic Lymphohistiocytosis, Familial, 3	MGI:1917700	Unc13d	Mouse	59	2	1	8	1	13	true
OMIM:103500	Tietz Syndrome	MGI:104554	Mitf	Mouse	57	2	14	19	1	122	false
OMIM:130650	Beckwith-Wiedemann syndrome	MGI:104564	Cdkn1c	Mouse	59	2	1	97	13	96	false
OMIM:612350	Spondylocheirodysplasia, Ehlers-Danlos Syndrome-Like	MGI:1915677	Slc39a13	Mouse	58	2	1	35	1	28	true
OMIM:604320	Spinal muscular atrophy with respiratory distress 1	MGI:99954	Ighmbp2	Mouse	51	2	1	48	3	45	false
OMIM:259710	Osteopetrosis autosomal recessive 2	MGI:1100089	Tnfsf11	Mouse	52	2	1	18	1	83	true
OMIM:612840	Leukocyte adhesion deficiency type III	MGI:2147790	Fermt3	Mouse	85	2	1	8	1	27	true
OMIM:270150	Sjogren's syndrome	MGI:95484	Fas	Mouse	72	2	4	183	0	176	true
OMIM:219000	Fraser syndrome	MGI:2444465	Frem2	Mouse	65	2	6	95	3	45	true
OMIM:193500	Waardenburg Syndrome, Type 1	MGI:104554	Mitf	Mouse	71	2	1	35	1	122	true
OMIM:153400	Distichiasis-lymphedema syndrome	MGI:1347481	Foxc2	Mouse	58	2	1	28	2	89	true
OMIM:113100	Brachydactyly, Type C	MGI:95688	Gdf5	Mouse	54	2	1	37	2	48	true
OMIM:136800	Corneal Dystrophy, Fuchs Endothelial, 1	MGI:88464	Col8a2	Mouse	64	2	1	5	1	11	true
OMIM:602849	Muenke syndrome	MGI:95524	Fgfr3	Mouse	55	2	6	32	1	182	true
OMIM:187600	Thanatophoric dysplasia type 1	MGI:95524	Fgfr3	Mouse	68	2	2	53	1	182	true
OMIM:123400	Jakob-Creutzfeldt disease	MGI:97769	Prnp	Mouse	50	2	5	50	14	59	false
OMIM:614491	Pseudohypoaldosteronism type 2B	MGI:1917097	Wnk4	Mouse	69	2	1	5	1	20	true
OMIM:214700	Diarrhea 1, Secretory Chloride, Congenital	MGI:107181	Slc26a3	Mouse	70	2	1	14	1	15	true
OMIM:254210	Familial infantile myasthenia	MGI:88392	Chat	Mouse	53	2	2	18	1	46	true
OMIM:268800	Sandhoff Disease	MGI:96074	Hexb	Mouse	60	2	8	67	4	37	false
OMIM:187300	Telangiectasia, Hereditary Hemorrhagic, of Rendu, Osler, and Weber	MGI:95392	Eng	Mouse	64	2	6	37	1	55	true
OMIM:613211	Amelogenesis Imperfecta, Hypomaturation Type, Iia3	MGI:3583957	Wdr72	Mouse	64	2	1	2	1	4	true
OMIM:172800	Piebald Trait	MGI:96677	Kit	Mouse	65	2	1	105	6	215	false
OMIM:221750	Non-acquired combined pituitary hormone deficiency with spine abnormalities	MGI:102673	Lhx3	Mouse	75	2	1	9	1	50	true
OMIM:109400	Gorlin syndrome	MGI:105373	Ptch1	Mouse	58	2	4	116	5	123	false
OMIM:231680	multiple acyl-CoA dehydrogenase deficiency	ZFIN:ZDB-GENE-040912-168	etfdh	Zebrafish	51	2	1	41	9	17	false
OMIM:256500	Netherton syndrome	MGI:2661061	Dsg4	Mouse	66	2	2	38	2	49	true
OMIM:179830	Renal Tubular Acidosis, Proximal	MGI:1927555	Slc4a4	Mouse	46	2	1	13	1	55	false
OMIM:270150	Sjogren's syndrome	MGI:88587	Cyp19a1	Mouse	72	2	2	183	0	135	true
OMIM:259900	Primary hyperoxaluria, type I	MGI:1329033	Agxt	Mouse	54	2	1	20	2	7	true
OMIM:209850	Autism	MGI:95860	Gstm1	Mouse	54	2	1	12	5	9	true
OMIM:263800	Gitelman syndrome	MGI:1917097	Wnk4	Mouse	73	2	1	33	2	20	true
OMIM:614495	Pseudohypoaldosteronism type 2D	MGI:2445185	Klhl3	Mouse	69	2	1	5	1	3	true
OMIM:261550	persistent mullerian duct syndrome	MGI:105062	Amhr2	Mouse	74	2	1	22	3	8	false
OMIM:254780	Myoclonic Epilepsy of Lafora	MGI:2145264	Nhlrc1	Mouse	56	2	2	23	2	29	true
OMIM:101000	Neurofibromatosis, Type 2	MGI:97307	Nf2	Mouse	52	2	1	62	1	78	true
DOID:0050851	glomerulosclerosis	ZFIN:ZDB-GENE-140711-5	inf2	Zebrafish	67	2	1	36	28	19	false
OMIM:303400	Cleft palate X-linked	MGI:2389465	Tbx22	Mouse	73	2	2	3	1	13	true
OMIM:602088	Nephronophthisis 2	MGI:1335082	Invs	Mouse	58	2	1	16	1	63	true
DOID:1909	melanoma	ZFIN:ZDB-GENE-990415-270	tp53	Zebrafish	48	2	3	180	211	42	false
OMIM:614091	Short-Rib Thoracic Dysplasia 7 With or Without Polydactyly	MGI:1921932	Wdr35	Mouse	69	2	1	15	1	15	true
OMIM:222400	DIH2	MGI:3576010	hpld	Mouse	56	2	1	2	0	4	true
OMIM:269700	Lipodystrophy, Congenital Generalized, Type 2	MGI:1298392	Bscl2	Mouse	57	2	2	30	1	75	true
OMIM:236670	Walker-Warburg congenital muscular dystrophy	MGI:88454	Col4a1	Mouse	69	2	1	44	6	61	true
OMIM:268310	Robinow Syndrome, Autosomal Recessive	MGI:1916034	Prickle1	Mouse	67	2	2	118	1	72	true
DOID:9258	Waardenburg's syndrome	ZFIN:ZDB-GENE-011207-1	sox10	Zebrafish	60	2	2	279	20	113	false
OMIM:611498	Nephronophthisis 7	MGI:1932535	Glis2	Mouse	73	2	1	3	1	26	true
OMIM:612416	Factor 11 Deficiency	MGI:99481	F11	Mouse	77	2	1	12	3	4	false
OMIM:155310	Visceral Myopathy	MGI:88398	Chrm3	Mouse	68	2	1	32	2	40	true
OMIM:149400	Hyperekplexia, Hereditary 1	MGI:95747	Glra1	Mouse	71	2	3	11	4	38	true
OMIM:607016	Scheie Syndrome	MGI:96418	Idua	Mouse	69	2	1	30	1	98	true
OMIM:313200	Spinal and Bulbar Muscular Atrophy, X-Linked 1	MGI:88064	Ar	Mouse	66	2	1	32	1	182	false
OMIM:119600	Cleidocranial dysostosis	MGI:99829	Runx2	Mouse	70	2	4	199	3	132	false
OMIM:606658	Spinocerebellar ataxia 15	MGI:96623	Itpr1	Mouse	56	2	2	11	3	32	false
OMIM:257200	Niemann-Pick disease, type A	MGI:98325	Smpd1	Mouse	55	2	2	27	1	33	true
OMIM:208530	Right Atrial Isomerism	MGI:109448	Cfc1	Mouse	84	3	2	13	1	40	true
OMIM:118220	Charcot-Marie-Tooth disease type 1A	MGI:97631	Pmp22	Mouse	53	3	3	19	1	40	true
OMIM:162300	multiple endocrine neoplasia type 2B	MGI:97902	Ret	Mouse	59	3	2	38	1	124	false
OMIM:311250	Ornithine carbamoyltransferase deficiency	MGI:97448	Otc	Mouse	54	3	8	51	1	56	true
OMIM:607361	Meckel Syndrome, Type 3	MGI:1923928	Tmem67	Mouse	66	3	1	9	1	46	true
OMIM:312080	Pelizaeus-Merzbacher disease	MGI:97623	Plp1	Mouse	54	3	4	102	7	49	false
OMIM:614723	Adenine phosphoribosyltransferase deficiency	MGI:88061	Aprt	Mouse	76	3	3	5	1	44	true
OMIM:270150	Sjogren's syndrome	MGI:2143599	Traf3ip2	Mouse	71	3	1	183	0	55	true
OMIM:202200	ACTH resistance	MGI:96928	Mc2r	Mouse	71	3	1	10	1	24	true
OMIM:219000	Fraser syndrome	MGI:2670972	Frem1	Mouse	64	3	4	95	3	44	true
OMIM:224900	Autosomal recessive hypohidrotic ectodermal dysplasia syndrome	MGI:1343498	Edar	Mouse	59	3	2	17	2	49	true
OMIM:253700	Severe autosomal recessive muscular dystrophy of childhood - North African type	MGI:1346524	Sgcg	Mouse	64	3	2	13	1	23	true
OMIM:312750	Rett syndrome	MGI:99918	Mecp2	Mouse	56	3	31	104	6	124	false
OMIM:174050	Polycystic Liver Disease	MGI:2155302	Sec63	Mouse	67	3	1	17	2	7	true
OMIM:259500	Osteogenic Sarcoma	MGI:98834	Trp53	Mouse	58	3	4	364	91	271	false
OMIM:602390	Hemochromatosis, Type 2A	MGI:1916835	Hfe2	Mouse	61	3	2	7	2	12	true
OMIM:607831	Charcot-Marie-Tooth Disease, Axonal, Type 2K	MGI:1338002	Gdap1	Mouse	61	3	1	11	2	18	true
OMIM:232600	glycogen storage disease V	MGI:97830	Pygm	Mouse	64	3	1	32	4	6	false
OMIM:218700	Hypothyroidism, Congenital, Nongoitrous, 2	MGI:1353500	Foxe1	Mouse	60	3	1	28	2	13	true
OMIM:214800	CHARGE association	MGI:2444748	Chd7	Mouse	68	3	5	164	2	170	true
OMIM:604307	Cataract, coppock-like	MGI:88524	Crygd	Mouse	68	3	1	6	2	8	false
OMIM:609646	Deafness, Autosomal Recessive 42	MGI:2146574	Ildr1	Mouse	83	3	2	1	1	15	true
OMIM:274300	Thyroid hormone resistance, generalized, autosomal recessive	MGI:98743	Thrb	Mouse	57	3	2	6	1	106	true
OMIM:168600	Parkinson Disease, Late-Onset	MGI:1921494	Atg7	Mouse	55	3	2	22	18	56	true
OMIM:608840	Muscular Dystrophy-Dystroglycanopathy (Congenital With Mental Retardation), Type B, 6	MGI:1342270	Large	Mouse	63	3	1	24	1	62	true
OMIM:256550	glycoproteinosis	MGI:97305	Neu1	Mouse	53	3	2	56	1	29	true
OMIM:303100	choroideremia	ZFIN:ZDB-GENE-030318-2	chm	Zebrafish	47	3	1	33	2	56	false
OMIM:227260	Congenital ectodermal dysplasia of face	MGI:104685	Twist2	Mouse	53	3	1	27	1	43	true
OMIM:108010	Arteriovenous Malformations of the Brain	MGI:1338946	Acvrl1	Mouse	54	3	1	4	1	69	true
OMIM:181440	Scheuermann Disease	MGI:104540	Clec3b	Mouse	57	3	1	26	0	7	true
OMIM:600072	fatal familial insomnia	MGI:97769	Prnp	Mouse	65	3	1	25	1	59	true
OMIM:609734	Proopiomelanocortin Deficiency	MGI:97742	Pomc	Mouse	54	3	1	6	1	61	true
OMIM:263800	Gitelman syndrome	MGI:1858416	Stk39	Mouse	72	3	1	33	2	16	true
OMIM:607200	Thyroid dyshormonogenesis 6	MGI:3036280	Duox2	Mouse	44	3	1	1	1	16	true
OMIM:203100	Oculocutaneous albinism type 1A	MGI:98880	Tyr	Mouse	71	3	1	20	1	60	true
OMIM:209880	Central Hypoventilation Syndrome, Congenital	MGI:1100882	Phox2b	Mouse	63	3	1	25	7	63	true
OMIM:261640	6-pyruvoyl-tetrahydropterin synthase deficiency	MGI:1338783	Pts	Mouse	58	3	2	22	1	23	true
OMIM:608594	Lipodystrophy, Congenital Generalized, Type 1	MGI:1914762	Agpat2	Mouse	56	3	1	27	1	55	true
OMIM:162200	Neurofibromatosis, Type 1	MGI:97306	Nf1	Mouse	56	3	14	167	11	169	false
OMIM:263200	Autosomal recessive polycystic kidney disease	MGI:1929699	Arl3	Mouse	61	3	1	37	6	18	false
OMIM:305390	Familial exudative vitreoretinopathy, X-linked	MGI:102570	Ndp	Mouse	47	3	1	12	1	28	true
OMIM:252010	Mitochondrial Complex 1 Deficiency	MGI:1343135	Ndufs4	Mouse	55	3	1	36	26	88	true
OMIM:202010	Deficiency of steroid 11-beta-monooxygenase	MGI:88583	Cyp11b1	Mouse	66	3	1	17	1	27	true
OMIM:188400	DiGeorge syndrome	MGI:98493	Tbx1	Mouse	65	3	21	236	12	178	false
OMIM:610199	Neonatal diabetes - congenital hypothyroidism - congenital glaucoma - hepatic fibrosis - polycystic kidneys	MGI:2444289	Glis3	Mouse	63	3	2	6	1	28	true
OMIM:608115	ovarian hyperstimulation syndrome	MGI:1352462	Nr1h3	Mouse	74	3	1	37	1	32	true
OMIM:610017	Multiple synostoses syndrome 2	MGI:95688	Gdf5	Mouse	68	3	1	6	2	48	true
OMIM:212140	Renal carnitine transport defect	MGI:1329012	Slc22a5	Mouse	64	3	1	23	1	16	true
OMIM:119800	clubfoot	MGI:107374	Pitx1	Mouse	57	3	1	66	2	42	false
OMIM:208900	ataxia telangiectasia	MGI:107202	Atm	Mouse	57	3	7	115	2	105	false
OMIM:123790	Beare-Stevenson Cutis Gyrata Syndrome	MGI:95523	Fgfr2	Mouse	52	3	1	44	1	324	false
OMIM:266200	Pyruvate kinase deficiency of red cells	MGI:97604	Pklr	Mouse	55	3	2	11	1	23	true
OMIM:613254	Tuberous sclerosis 2	MGI:102548	Tsc2	Mouse	51	3	8	26	2	84	true
OMIM:259700	Osteopetrosis autosomal recessive 1	MGI:1350931	Tcirg1	Mouse	56	3	2	25	2	63	true
OMIM:202400	Afibrinogenemia, congenital	MGI:95526	Fgg	Mouse	55	3	1	42	6	24	false
OMIM:204200	Juvenile neuronal ceroid lipofuscinosis	MGI:1298204	Ppt1	Mouse	45	3	1	23	2	38	false
OMIM:235700	Hemolytic anemia due to hexokinase deficiency	MGI:96103	Hk1	Mouse	64	3	1	9	1	22	true
OMIM:162200	Neurofibromatosis, Type 1	MGI:109583	Pten	Mouse	56	3	1	167	11	459	false
OMIM:112600	Brachydactyly, Type A2	MGI:95688	Gdf5	Mouse	49	3	1	21	4	48	true
OMIM:104300	Alzheimer Disease	MGI:107978	Klc1	Mouse	49	3	1	5	14	10	true
OMIM:615072	Brachydactyly, Type A1, C	MGI:95688	Gdf5	Mouse	75	3	1	1	2	48	true
OMIM:249000	Meckel Syndrome, Type 1	MGI:3584243	Mks1	Mouse	66	3	3	59	1	107	true
OMIM:607594	Common variable immunodeficiency 1	MGI:1858745	Icos	Mouse	72	3	2	18	2	52	true
OMIM:231200	Bernard Soulier syndrome	MGI:107852	Gp1bb	Mouse	61	3	4	26	4	5	false
OMIM:253600	Limb-girdle muscular dystrophy, type 2A	MGI:107437	Capn3	Mouse	64	3	2	9	1	16	true
OMIM:600803	Gallbladder Disease 1	MGI:97569	Abcb4	Mouse	65	3	1	9	1	67	true
OMIM:603165	Dermatitis, Atopic	MGI:1931595	Nfkbiz	Mouse	51	3	1	15	1	46	true
OMIM:143100	Huntington Disease	MGI:96067	Htt	Mouse	58	3	19	58	14	127	false
OMIM:175780	Porencephaly 1	MGI:88454	Col4a1	Mouse	49	3	1	17	1	61	true
OMIM:113650	Melnick-Fraser syndrome	MGI:102780	Six1	Mouse	66	3	1	34	2	120	true
OMIM:602347	Cholestasis, Progressive Familial Intrahepatic, 3	MGI:97569	Abcb4	Mouse	73	3	2	11	1	67	true
OMIM:214500	Chediak-Higashi syndrome	MGI:107448	Lyst	Mouse	58	3	8	101	2	91	false
OMIM:608643	Deficiency of aromatic-L-amino-acid decarboxylase	MGI:94876	Ddc	Mouse	45	3	1	23	2	41	true
OMIM:106280	Ankyloglossia	MGI:1341817	Lgr5	Mouse	60	3	1	1	0	9	true
OMIM:101600	Pfeiffer syndrome	MGI:95523	Fgfr2	Mouse	62	3	1	125	6	324	false
OMIM:614437	Cutis Laxa, Autosomal Recessive, Type 1B	MGI:1891209	Efemp2	Mouse	61	3	1	33	1	52	true
OMIM:601596	Charcot-Marie-Tooth disease, type 4C	MGI:2444417	Sh3tc2	Mouse	47	4	1	20	1	10	true
OMIM:264700	Hypocalcemic vitamin D-dependent rickets	MGI:1098274	Cyp27b1	Mouse	59	4	2	66	3	70	false
OMIM:615277	Cataract 19	MGI:104698	Lim2	Mouse	53	4	2	1	1	12	true
